Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
480,ABED Faisal,KSA,,,,,,0.5,,0.0,0.0,,,0.0,,,,,,,,0.5
481,STRAUB Max,GER,,,,,0.5,,,,,,,,,,,,,,,0.5
482,VIK Martin Aleksander,NOR,,0.0,,,0.5,,,,,,,,,,,,,,,0.5
483,MATEVOSOV Artem,UKR,,,,0.5,,,,,,,,,,,,,,,,0.5
483,SANDERS Ian,USA,,,,,,0.5,,,,,,,,,,,,,,0.5
485,KUKHAREV Vladimir,GBR,0.5,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,0.5
486,CUMMINGS Atticus,USA,,,,,0.5,0.0,,,,,,,,,,,,,,0.5
487,MARTIN GAMAZO Jose Miguel,ESP,,,,,,0.5,,,,0.0,,,,,,,,,,0.5
488,CONRAD Nicolas,FRA,,0.5,,,,,,,,,,,,,,,,,,0.5
489,SCHIEFER Max,AUT,,,,,0.5,,,,,,,,,,,,,,,0.5
490,VERWAAL Crijn,NED,,0.0,,0.0,0.25,,,,0.0,0.25,,,,,,,,,,0.5
491,VAN LAECKE Wout,BEL,,0.25,,,,,,,,0.25,,,,,,,,,,0.5
492,PETKANTCHIN Samuel,SUI,,,0.25,,,,,,,,,,,0.25,,,,,,0.5
493,BESTER Christiaan,RSA,,,0.25,,,0.25,,0.0,,,,,,,,,,,,0.5
494,TIMOSHENKO Philipp,GER,,0.0,0.25,,,,,,,0.25,,,,,,,,,,0.5
495,EHRINGHAUS Mika,GER,,0.0,0.0,,,,,,,0.25,0.0,0.0,,0.25,,,,,,0.5
496,STROOP Preston Ridley,NED,,0.0,,,,,,,,0.25,,,,0.25,,,,,,0.5
497,PROSVIRNIN Dmitrii,RUS,,,,,,,,,,,0.5,,,,,,,,,0.5
498,TURISHEV Iskandar,UZB,,,,,,,,,,,0.5,,,,,,,,,0.5
499,ZHAO Junyi Michael,CAN,,,,,,,0.5,,,,,,,,,,,,,0.5
500,FAN Jackson,CAN,,,,,,,0.5,,,0.0,,,,,,,,,,0.5
501,KIM Jaewon,KOR,,,,,,,,,,,0.5,,,,,,,,,0.5
502,HOCH Andre,GER,,,,,,,,,,0.5,,,,,,,,,,0.5
503,DUDUC Alex,SVK,,,,,,0.0,,,,0.25,0.25,0.0,,,,,,,,0.5
504,BADEA Christian,CAN,,,,,,,0.5,,0.0,,,,,,,,,,,0.5
505,WINGERTER Morgan,FRA,,,,,,,0.5,0.0,,,,,,,,,,,,0.5
506,KASSATKIN Alexey,KAZ,,,,,,,0.25,0.25,,,0.0,,,,,,,,,0.5
507,CIMINI Gabriele,ITA,,,,,,,0.25,,,0.25,,,,,,,,,,0.5
508,BOUMEDIENNE Sami,SWE,,,,,,,,,,0.25,,0.0,,0.25,,,,,,0.5
509,HSU Hao,TPE,,,,,,,,,,,0.25,,,0.25,,,,,,0.5
510,GIORGI Gauthier,FRA,,,,,,,,0.25,0.0,0.25,,,,,,,,,,0.5
511,YEUNG Kwan Pui,HKG,,,,,,,0.25,0.25,0.0,0.0,,,,,,,,,,0.5
512,CHARMATSKI Eitan Efraim,ISR,,,,,,,,,,0.25,,,,0.25,,,,,,0.5
513,WU Hsiang-Ching,TPE,,,,,,,,,,0.25,,,,0.25,,,,,,0.5
514,SELIVERSTOV Oleksandr,UKR,,,,0.0,,0.0,,,,,,0.375,,0.0,,,,,,0.375
515,DE LA CAL GUIJARRO Jaime,ESP,,,,,,0.0,,,,0.0,,0.375,,0.0,,,,,,0.375
516,MARTINEZ Michael,ECU,,,,,,,,,,,,,0.375,,,0.0,,,,0.375
517,GARCIA Fabrizio,PER,,,,,,,,,,,,,0.375,,,0.0,,,,0.375
518,MORENO ANDRES Javier,ESP,,,,,,0.0,,,,,,,0.375,,,,,,,0.375
519,MIKO Lukas,SVK,,,,0.0,,0.0,,,,,,0.375,,,,,,,,0.375
520,CORVERS Mathis,BEL,,0.0,,,,,,,0.375,0.0,,0.0,,0.0,,,,,,0.375
521,FATULLAYEV Vahab,AZE,,,,,,,,,,,,0.375,,,,,0.0,,,0.375
522,CHOUN Karim,CZE,,,,,,,,,,,,0.375,,,,,,,,0.375
523,RIZZI Jacopo,ITA,,,,,,,,,,,,,0.375,,,,,,,0.375
524,LABAKI Samuel,AUS,,,,,,,0.0,0.0,0.375,0.0,,,,,,,,,,0.375
525,RAHAMEFY Aina,FRA,,,,,,,,,,,,,0.375,0.0,,,,,,0.375
526,FERRER ESTIVEN Yordan Danilo,CUB,,,,,,,,,,,,,0.375,,,,,,,0.375
527,HUTTO Joshua Feng,TPE,,,,,,,,,,,,,0.375,,,,,,,0.375
528,CRUZ AVILÉS Roberto Carlos,CUB,,,,,,,,,,,,,0.375,,,,,,,0.375
529,LEE Samson Mun Hou,SGP,,,,,,,,0.0,0.375,,,,,,,,,,,0.375
530,REYES Manuel Alejandro,COL,,,,,,,,,,,,,0.375,,,,,,,0.375
530,COHEN Nataniel,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
532,KUZNIK Bartosz,POL,,,,,,,,,,,,0.375,,0.0,,,,,,0.375
533,SZENYI Peter,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
534,BELOT Antoine,GBR,,,,,,,,,,,,0.375,,,,,,,,0.375
535,KUZMIN Mikhail,KAZ,,,,,,,,0.0,0.375,0.0,0.0,0.0,,,,,,,,0.375
536,AN Lihan,KOR,,,,,,,,,0.375,,,,,,,,,,,0.375
537,KAM Chun Ho,HKG,,,,,,,,,0.375,0.0,,,,,,,,,,0.375
538,BACSO Daniel,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
539,TAIVAINEN Bence,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
540,SEKIHARA Rei,JPN,,,,,,,,,,,0.0,0.375,,,,,,,,0.375
541,ROACH Tarriq Mosiah,JAM,,,,,,,,,,0.0,,0.375,,,,,,,,0.375
542,SALOKAS Arnas,LTU,,,,,,,,,,,,0.375,,,,,,,,0.375
543,SURDUCAN Tudor,ROU,,,,,,,,,,,,0.375,,,,,,,,0.375
544,GARCIA MIGUEL Ruben,ESP,,,,,,0.25,,,,,,,,,,,,,,0.25
544,BENETTI Dario,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
546,ONER Cengizhan,TUR,0.0,,0.0,0.25,,,,,0.0,,,,,,,,,,,0.25
547,BEZZINI Roberto,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
548,CODREAN Mihnea,ROU,0.25,,,0.0,,,,,,,,,,,,,,,,0.25
549,CSEKE Balazs,HUN,,,,0.25,,,,,,,,,,,,,,,,0.25
550,FRIIS MADSEN Benjamin,DEN,0.0,,0.0,,0.25,,,,,0.0,,,,,,,,,,0.25
551,LOPEZ CORAZON Diego,ESP,,,,,,0.25,,,,,,,,,,,,,,0.25
552,OPREA Mihail,ROU,0.25,,,,,,,,,,,,,,,,,,,0.25
553,JOHNSTON Calum,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
553,DE WINTER Alexander,BEL,,0.25,,,,,,,,,,,,,,,,,,0.25
553,RUIZ VAZQUEZ Pablo,ESP,,,,,,0.25,,,,,,,,,,,,,,0.25
553,DODARO Francesco,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
557,PEDERSEN Adrian Hoegh,DEN,,0.25,,,,0.0,,,,,,,,,,,,,,0.25
558,MAGNI Riccardo,ITA,,,,,,0.25,,,,,,,,,,,,,,0.25
558,MOCCI Gabriele,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
560,CHERUBINI Niccolo,SUI,,,0.0,,0.25,,,,,,,,,,,,,,,0.25
561,FRITSCH Laszlo,HUN,0.25,,,0.0,,,,,,,,,,,,,,,,0.25
562,KOSKA-GONZALES Bendeguz,HUN,0.25,,,0.0,,,,,,,,0.0,,,,,,,,0.25
563,HAGEN Viktor Jarl Breivik,NOR,,,,,0.25,,,,,,,,,,,,,,,0.25
564,NAZAREVYCH Vladyslav,UKR,,,,0.0,,0.25,,,,,,,,,,,,,,0.25
565,BONDI Federico,ITA,,,,0.25,0.0,,,,,,,,,,,,,,,0.25
566,PASSOT Leo,SUI,,,0.25,,,,,,,,,,,0.0,,,,,,0.25
567,DE METS Bert,BEL,,0.25,,,,,,,,,,,,,,,,,,0.25
568,DEHN Julius,GER,,0.25,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,0.25
569,SCARSI Mauro,ITA,,,0.25,,,,,,,,,,,,,,,,,0.25
569,PIETROBELLI Giacomo Patrick,IRL,,,,,0.25,,,,,,,,,,,,,,,0.25
569,AMBROSINI Emiliano,ITA,0.25,,,,,,,,,,,,,,,,,,,0.25
572,KOVALEVS Sergejs,LAT,,,,,0.25,,,,,,,,,,,,,,,0.25
572,VAN DE STEENE Adrian,BEL,,0.25,,,,,,,,,,,,,,,,,,0.25
572,PETROV Teodor,BUL,0.25,,,,,,,,,,,,,,,,,,,0.25
575,HOIDA Daniil,UKR,,,0.0,0.25,,,,0.0,,,0.0,,,,,,,,,0.25
576,ZONE Liam,IRL,,,0.0,,0.25,0.0,,,,,,,,0.0,,,,,,0.25
577,ODEH Iyad,JOR,,,,,,0.25,,0.0,,,,,,,,,,,,0.25
578,PEREZ TRIANA Daniel Alfredo,COL,,0.0,,,,,,,,0.25,,,,0.0,,,,,,0.25
579,BROBAKKEN Marcus Vokes,NOR,,0.0,,,0.0,,,,,0.0,,,,0.25,,,0.0,,,0.25
580,YETER Yalgin,TUR,0.0,,0.0,,,,,,0.0,0.25,,0.0,,0.0,,,,,,0.25
581,GHYSELS Leo,BEL,,0.0,,,,,,,0.0,0.0,,0.0,,0.25,,,,,,0.25
582,RADOSZ Mikolaj,POL,0.0,,,,,,,,,0.25,,0.0,,,,,,,,0.25
583,JANSSENS William,BEL,,0.0,,,,,,,,0.0,0.0,,,0.25,,,,,,0.25
584,JOSHI Balram,IND,,,,0.0,,,,0.25,0.0,,0.0,,,,,,,,,0.25
585,GIEDROJC Jerzy,POL,,,,,,0.0,,,,,,,,0.25,,,,,,0.25
586,DECHAMPS Quentin,BEL,,0.0,,,,,,,,,,,,0.25,,,,,,0.25
587,ALLEN Gregory,GBR,,,0.0,,,,,,,0.25,,,,0.0,,,,,,0.25
588,CAIKOVSKIS Glebs,LAT,,0.0,,,,,,,,0.25,,,,,,,0.0,,,0.25
589,RAZMADZE Spartak,GEO,,,0.0,,,,,,,0.0,,,,0.25,,,0.0,,,0.25
590,KUMMER Horant,GER,,,0.0,,,,,,0.0,0.0,0.25,,,,,,,,,0.25
591,FAVRE Aurelien,SUI,,,0.0,,,,,,,,,,,0.25,,,,,,0.25
592,SALEH Mohammad,JOR,,,,,,0.0,,0.25,,,,,,,,,,,,0.25
593,VEMANI Lokesh,IND,,,,,,,,0.25,,,,,,,,,,,,0.25
594,BLINOV Jevgeni,EST,,,,,,,,,,0.25,,0.0,,,,,,,,0.25
595,NUA Azanius,SGP,,,,,,,,0.25,0.0,,,,,,,,,,,0.25
596,MUSTAFIN Gabidin,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
597,YIP Kwok Ho,HKG,,,,,,,0.25,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.25
598,KAIRGUSSOV Marat,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
599,KOJO Hayato,JPN,,,,,,,,,,,0.25,,,,,,,,,0.25
600,UALIKHAN Nariman,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
601,KUF Jan,CZE,,,,,,,0.0,0.25,,,,,,,,,,,,0.25
602,MARCZAK Wojciech,POL,,,,,,,0.25,,,0.0,0.0,,,,,,,,,0.25
603,ZAYNOBIDINOV Ozodbek,UZB,,,,,,,,,,,0.25,,,,,,,,,0.25
604,CHIU Sheng-Hsuan,TPE,,,,,,,,,,,0.25,,,,,,,,,0.25
605,ORYNBASSAR Berik,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
606,LEPIKHOV Daniil,KGZ,,,,,,,,,,,0.25,,,,,,,,0.0,0.25
607,SELYUTIN Roman,RUS,,,,,,,,,,,,,,0.25,,,,,,0.25
608,GLADYSZCZAK Michal,POL,,,,,,,0.25,0.0,,0.0,,,,,,,,,,0.25
609,AKHMEDOV Sayidakbar,UZB,,,,,,,,,,,0.25,,,,,,,,,0.25
610,KAPIAS Augustyn,POL,,,,,,,,0.25,,0.0,,,,,,,,,,0.25
611,VAN MANEN Rahul,RSA,,,,,,,,,,0.25,,,,,,,,,,0.25
611,SHESHIN Alexandr,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
613,KOO Aiden,SGP,,,,,,,,0.25,,,,,,,,,,,,0.25
614,ISMOILOV Kamronbek,UZB,,,,,,,,,,,0.25,,,,,,,,,0.25
614,KASE Reine,SWE,,,,,,,,,,0.25,,,,,,,,,,0.25
616,SIDIKOV Muhammadusuf,UZB,,,,,,,,,,,0.25,,,,,,,,,0.25
617,DU Jie,CHN,,,,,,,,,,,,,,0.25,,,,,,0.25
618,SAMOILOV Dmytro,UKR,,,,,,,,0.25,0.0,0.0,,,,,,,,,,0.25
619,MINOBE Kazuyasu,JPN,,,,,,,0.25,,,,,,,,,,,,,0.25
620,TAKAHASHI Miraku,JPN,,,,,,,0.25,0.0,,,,,,,,,,,,0.25
621,POULIQUEN Nicolas,CAN,,,,,,,0.0,0.25,,,,,,,,,,,,0.25
622,FAGERSTEDT Jakob,SWE,,,,,,,,,,0.0,,,,0.25,,,,,,0.25
623,HEINZER Max,SUI,,,,,,,,,,,,,,0.25,,,,,,0.25
624,KATO SEIJUN,JPN,,,,,,,,,,,,,,0.25,,,,,,0.25
625,STURGEON William,AUS,,,,,,,,,,0.25,0.0,0.0,,0.0,,,,,,0.25
626,PETRICH Pedro,BRA,,,,,,,,,,,,0.0,,0.25,,,,,,0.25
627,OSAMA Eslam,EGY,,,,,,,,,,,,,,0.25,,,,,,0.25
628,SHARMA Pankaj Kumar,IND,,,,,,,,,,,,,,0.25,,,,,,0.25
629,SELIM Ahmed,EGY,,,,,,,,,,0.25,,,,,,,,,,0.25
630,SCHMIER Robert,GER,,,,,,,,,,0.25,,,,,,,,,,0.25
630,ESTABLE Gauthier,SUI,,,,,,,,,,,,,,0.25,,,,,,0.25
632,ELGENDY Ahmed,EGY,,,,,,,,,,,,,,0.25,,,,,,0.25
633,TARANENKO Yuriy,UKR,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0
634,PERCHUK Maksym,UKR,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0
635,LEPERS Leo,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
635,POPA Stefan,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
635,BELL A NKONEN JONATHAN,CMR,,,,,,,,,,,,,,,0.0,,,,,0.0
638,LOUGBEGNON Emmanuel Jean Elysee,BEN,,,,,,,,,,,,,,,0.0,,,,,0.0
638,GAUDIO Tommaso,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
640,KYRDA Bohdan,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
641,RICHARDT Cheyeen,DEN,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0
642,PORRO Jefferson John-Mary,BEN,,,0.0,,,0.0,,,,,,,,,0.0,,,,0.0,0.0
643,BONAGA Nicolo',ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
644,WERMESER Csongor Gyorgy,HUN,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0
645,LEMOISSON Maxence,FRA,,,0.0,,,,,,,0.0,,,,,,,,,,0.0
646,MULLER Leonard,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
646,DANNAH Ahmed,LBA,,,,,,,,,,,,,,,0.0,,,,,0.0
646,DELFINO Francesco,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
649,MAKHONIN Oleksiy,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
650,JOSZKIN Peter,HUN,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
651,GORIUNOV Ivan,USA,,,,,0.0,,,,,,,,,,,,,,,0.0
651,NITU Francesco,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
651,GBOVIDEMLAN Christ Berulle Agossou,BEN,,,,,,,,,,,,,,,0.0,,,,,0.0
654,PLANOJEVIC Jakov,SRB,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
655,RICHELIEU DE Jakob,DEN,,,,,0.0,,,,,,,,,,,,,,,0.0
655,POONYANE Katlego,BOT,,,,,,,,,,,,,,,0.0,,,,,0.0
657,PLAKSIN Dmytro,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
658,YAGDIRAN Eren,TUR,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,0.0
659,RANTALA Einar,FIN,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0
660,BERARD BOISSET Jeremy,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
660,SCHLICKENRIEDER Florian,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
660,VON SCHONBORN Leopold,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
660,ARITA RIVAS Carlos Andres,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
664,RICHAUD Nathan,BEL,,0.0,,,,,,,,0.0,,,,,,,,,,0.0
665,DE GAETANO Pietro,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
666,BAROGLIO Andrea,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
666,VERSTEIJNEN Jan-Koen,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
666,KORTVELYESSY Bendeguz,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
666,SONNESSA Nicolo,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
670,GAUVERT Mathieu,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
670,MITRICA Alin,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
672,CALLEJAS SANZ Manuel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
673,HAVADZYN Vasyl,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
674,FERGUSON William,GBR,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0
675,CORCORAN Geoffrey,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
676,LAVRENTIEV Denys,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
677,PROKOFIEV Arsenii,UKR,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0
678,RIVERA DAVID Paul,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
678,APJOK Balazs,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
678,BURNSIDE Jonathan,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
681,PAVIC Johannes,AUT,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
682,DRAGOMIR Liviu,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
682,VOINOV Danylo,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
682,BERCKER Lelio,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
685,MIGALLON Guillermo,ESP,,,,,,0.0,,,,0.0,,,,,,,,,,0.0
686,TURKDIL Burak,TUR,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
687,BAEKELANDT Maxime,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
688,TITMUSS Max,GBR,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0
689,UKOLOV Dimitri,CAN,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0
690,TORRISI Giuseppe,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
691,MIRICA Florin,GBR,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
692,LECHEVALIER BOISSEL Junes,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
692,JIMENEZ ZOTES Vicente,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
694,GARCIA LA PARRA Pablo,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
695,VIDELER Jasper,NED,0.0,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0
696,SMITH Hugo,GBR,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0
697,RIEDE Stefan,AUT,,,,,0.0,,,,,,,,,0.0,,,,,,0.0
698,VILANOVA PARRENO Jose Manuel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
698,LUPANO Samuele,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
698,ROJAS CRUZ Vicente Antonio,NCA,,,,,,,,,,,,,,,,0.0,,,,0.0
698,PURAT Christian,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
702,BENNET Fin,GBR,,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0
703,BOGOVIC Maurizio,CRO,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
704,SOERUM Inge,NOR,,,,,0.0,,,,,,,,,,,,,,,0.0
704,KHVOROST Maksym,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
706,COMPAGNION Keo,FRA,,0.0,0.0,,,,,,,,,,,,,,,,,0.0
707,CASTRO Federico Vincenzo,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
707,ALVAREZ PEREZ Adrian Alejandro,DOM,,,,,,,,,,,,,,,,0.0,,,,0.0
707,CHIRKO Andrew,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
710,ZAHRAN Aiden,DOM,,,,,,,,,,,,,,,,0.0,,,,0.0
711,SUAREZ GONZALEZ ARTURO,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
712,MARTIN Dylan,JAM,,,,,,,,,,,,,,,,0.0,,,,0.0
712,LEPKANYCH Kyryl,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
712,ASSUM Felix,NOR,,0.0,,,,,,,,,,,,,,,,,,0.0
712,MORENO DOMINGO Gonzalo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
716,FERNANDEZ JIMENO Emilio,ESP,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
717,POLIANSKYI Andrii,UKR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
718,VISSER Zeb,NED,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0
719,VASILESCU Gabriel,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
719,TOCH Lars,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
721,SYDOROV Mykhailo,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
722,LAUGA Eric,GBR,,,,,0.0,,,,,,,,,,,,,,,0.0
722,GIOVITA Gabriele,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
724,CALIPA Aurelio,GBR,0.0,,0.0,,,,,,,,,,,,,,,,,0.0
725,QUEZADA Lisandro Antonio,ESA,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
726,GIAQUINTO Jorge Antonio,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
726,PEUDEVIN Gregoire,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
726,PASQUON Davide,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
729,HUARD Philip,GBR,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
730,BAKKE Simon,DEN,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,0.0
731,PISTEA Mark,CAN,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
732,SALEKI Adrien,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
732,BERECHE Sebastian,PER,,,,,,,,,,,,,,,,0.0,,,,0.0
732,GALVEZ IDARRAGA Daniel Alejandro,BOL,,,,,,,,,,,,,,,,0.0,,,,0.0
735,LELONG Charlie,FRA,,0.0,0.0,,,,,,,,,,,,,,,,,0.0
736,POPA Gabriel,ROU,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
737,LADEFOGED Rasmus,DEN,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
738,GALLANT Antoine,CAN,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
739,ENSLEY Diego,PER,,,,,,,,,,,,,,,,0.0,,,,0.0
739,BENTIVOGLI Leonardo,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
739,FALCON PAISER Jose Francesco,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
742,GRANDJEAN Achille,BEL,,0.0,,,,,,,,,,,,0.0,,,,,,0.0
743,FRIEDLI Matthieu,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
743,ROJO Facundo,URU,,,,,,,,,,,,,,,,0.0,,,,0.0
743,ROVIGLIONE Edoardo,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
743,CIRCO Leonardo,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
747,MULDER Carlos Luca,DEN,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,0.0
748,GOWEN James,GBR,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
749,BARLETTA AVILA Ricardo Javier,HON,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
750,BOSSER-LAMY Pierre Julien,BEL,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0
751,PEGORETTI Ramon,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
752,VOELUND Jonas,DEN,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0
753,GILI LOPEZ Pau,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
754,BOLANOS Tiago,POR,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0
755,KOLARIC Jovan,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
755,RODRIGUEZ GONZALEZ Javier,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
757,TASCA Filiberto,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
757,STAHELI Maurice,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
757,BALOI Albert,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
757,TOFALIDES Alex,CYP,,,,,0.0,,,,,,,,,,,,,,,0.0
761,ZAMORANO SARDA Hugo,ESP,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
762,FONTANA Davide,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
762,SZABO Szabolcs,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
762,PELLEGRINELLO Luca,BRA,,0.0,,,,,,,,,,,,,,,,,,0.0
765,POPOVIC Milos,MNE,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0
766,GEIGER Julius,AUT,,,,,0.0,,,,,,,,,0.0,,,,,,0.0
767,PEDICINI Mattia Graziano,ITA,0.0,,,,,,,,,,,,,,,,,,,0.0
767,NAGEL Keanu,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
767,BUNDALO Ivan,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
770,PERRONE Riccardo,ITA,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
771,KULESOVS Vadims,LAT,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0
772,BOSSHARD Eric,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
773,TAMANG Suki Ram,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
