Rank,Name,Nat.,20/09 Reykjavik (SA),27/09 Gand (SA),11/10 Nuremberg (SA),18/10 Istanbul (SA),25/10 Sofia (SA),07/11 Alger (A),04/12 Orléans (GP),09/01 Tunis (GP),22/01 Salt Lake City (A),27/03 Tashkent (A),17/04 Athènes (A),02/05 Incheon (GP),22/05 Lima (A),03/06 Abidjan (CHZ),16/06 Antony (CHZ),16/06 Lima (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
546,JOO Yebin,KOR,,,,,,,,,,,,0.0,,,,,,,0.0
546,MANN Sophia,USA,,,,,,,,,,0.0,,,,,,,,,0.0
548,RUZIEVA Salima,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
548,SASAKAWA Rika,JPN,,,,,,,,,,,,,0.0,,,,,,0.0
548,OOKA Shion,JPN,,,,,,,,,,,,0.0,,,,,,,0.0
551,BABADJANOVA Darina,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
552,AIME Amalia,FRA,,,,,,,,,,,,0.0,,,,,,,0.0
552,KURBONOVA Karina,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
552,NOMOTO Mao,JPN,,,,,,,,,0.0,,,,,,,,,,0.0
555,LAISHRAM Abi Devi,IND,,,,,,,,,,0.0,0.0,,,,,,,,0.0
556,FONG Yi Tak,HKG,,,,,,,0.0,,,,,,,,,,,,0.0
556,BOUNGAB Wissem,ALG,,,,,,0.0,,,,,,,,,,,,,0.0
558,GAN Si Yu,HKG,,,,,,,,,,,,0.0,,,,,,,0.0
559,BENITEZ ZERPA Oriana,VEN,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0
560,OSPANOVA Alina,KAZ,,,,,,,,,,0.0,,,,,,,,,0.0
561,NDAO Mame Awa,SEN,,,,,,,0.0,0.0,,,,,,,,,,,0.0
562,FERJANI Rania,TUN,,,,,,,,0.0,,,,,,,,,,,0.0
563,FELIX LARA Rossy,DOM,,,,,,,,,,0.0,,,0.0,,,,,,0.0
564,HATEM SIVIRA Ivana,VEN,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0
565,ZHU Xiaojing,CHN,,,,,,0.0,,,,,,,,,,,,,0.0
565,HUANG Shang Chen Doris,CAN,,,,,,,,,0.0,,,,,,,,,,0.0
565,GOMEZ VALERA Elena,ESP,,,,,,,0.0,,,,,,,,,,,,0.0
568,SHI Julia,CAN,,,,,,,,,0.0,,,,,,,,,,0.0
569,CHEBBI Elaa,TUN,,,,,,,,0.0,,,,,,,,,,,0.0
570,ZHENG Yanhua,CHN,,,,,,,0.0,,,,,,,,,,,,0.0
570,LAKHOUA Salma,TUN,,,,,,,,0.0,,,,,,,,,,,0.0
572,SENOGLU Irmak,TUR,,,,,,,,,0.0,,,,,,,,,,0.0
573,SANCHEZ LOPEZ Dariana,VEN,,,,,,,,,,,,,0.0,,,,,,0.0
573,VINOGOROVA Sofiia,USA,,,,,,,,,0.0,,,,,,,,,,0.0
575,FERNANDEZ AVILA Mar,ESP,,,,,,0.0,,,,,,,,,,,,,0.0
575,DRISS Tahra Oumaima,ALG,,,,,,0.0,,,,,,,,,,,,,0.0
577,CASTANO CORDERO Maria,ESP,,,,,,,0.0,,,,,,,,,,,,0.0
578,ZAMBRANO RAMIREZ Natalia,VEN,,,,,,,,,,,,,0.0,,,,,,0.0
579,TORRES Gabriela,PER,,,,,,,,,,,,,0.0,,,,,,0.0
579,GAUTAM Sahana,USA,,,,,,,,,0.0,,,,,,,,,,0.0
581,LO Mariama,SEN,,,,,,0.0,,,,,,,,,,,,,0.0
582,BORRELLI Elisabetta,ITA,,,,,,,,,0.0,,,,,,,,,,0.0
582,RATTO Gia,PER,,,,,,,,,,,,,0.0,,,,,,0.0
582,DIOUF Ndeye Marie,SEN,,,,,,0.0,,,,,,,,,,,,,0.0
585,ROUIBET OUMAIMA,ALG,,,,,,0.0,,,,,,,,,,,,,0.0
585,CHONG Hoi Yan,HKG,,,,,,,,,0.0,,,,,,,,,,0.0
587,VELARDE Josefina,PER,,,,,,,,,,,,,0.0,,,,,,0.0
588,OVIEDO Adriana,PER,,,,,,,,,,,,,0.0,,,,,,0.0
589,ROSALES Nina,PER,,,,,,,,,,,,,0.0,,,,,,0.0
589,ALBARRAN Domenica,PER,,,,,,,,,,,,,0.0,,,,,,0.0
591,GONZALEZ Diana,MEX,,,,,,,,,0.0,,,,,,,,,,0.0
591,FAUR Elea,FRA,,,,,,,0.0,,,,,,,,,,,,0.0
593,PAIZI Marina,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
594,SCHIMINOVICH Sophia,USA,,,,,,,,,0.0,,,,,,,,,,0.0
595,GRIMPAVIOTI Eleonora,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
596,EFSTRATIOU Maria Anna,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
597,KONDEV Elizabeth,USA,,,,,,,,,0.0,,,,,,,,,,0.0
598,MAVRIKAKI Athinais,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
598,JOHNSON Dagny,USA,,,,,,,,,0.0,,,,,,,,,,0.0
600,ATHINAIOU Despoina,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
601,IAKOVIDOU Alexandra Beatrice,CZE,,,,,,,,,0.0,,0.0,,,,,,,,0.0
602,GLOTTE Elia,ISR,,,,,,,,,,,0.0,,,,,,,,0.0
603,LI Sonia,CAN,,,,,,,,,0.0,,,,,,,,,,0.0
604,SANTOS Stella,BRA,,,,,,,0.0,,,,,,,,,,,,0.0
605,ASIMAKOPOULOU Filomila,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
606,ALSHAARAWI RODRÍGUEZ Sofía Ahmed,MEX,,,,,,,,,0.0,,,,,,,,,,0.0
607,HOFMAN Karolina,POL,,,,,,,0.0,,,,,,,,,,,,0.0
607,KIS Abigel,HUN,,,,,,,,,,,0.0,,,,,,,,0.0
609,BALDO Zoe Marie,CRO,,,,,,,,,,,0.0,,,,,,,,0.0
610,GALEA Maria,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
611,PALASKA Agni,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
612,GERONIKOU Anna,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
613,PAPAGEORGIOU Ilektra,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
614,ANASTASOPOULOU Eirini,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
615,MOUTOPOULOU Evangelia,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
615,KALLIANIOTI MARINA DOROTHEA,GRE,,,,,,,,,,,0.0,,,,,,,,0.0
