Rank,Name,Nat.,")AS(
amanaM
90/60",")AS(
araosimiT
90/12",")AS(
madretsmA
90/82",")AS(
orienaJ
ed
oiR
01/50",")AS(
eropagniS
01/21",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/60",")A(
nasuB
21/50",")A(
gnoK
gnoH
10/90",")PG(
niruT
20/50",")PG(
amiL
30/12",")A(
oriaC
40/71",")A(
lubnatsI
50/10",")PG(
iahgnahS
50/61",")ZHC(
najdibA
60/10",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
508,MAGASANIKOVA Viktorie,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
509,KARGAR SHARIFABAD Zahra,IRI,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0
510,LU Ren-Xuan,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
511,HONCIU BALLESTER Julia,ESP,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0
512,SPERKA Jazmin,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
513,PENSA Larissa Francesca Chiara,MDA,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0
514,DRUCK Lior,ISR,,,,,,0.0,,,,,,,,,,,,,,,0.0
514,MONIKA Men,CAM,,,,,,,,,,,,,,,,,,,0.0,,0.0
514,DAMAY Vika,INA,,,,,0.0,,,,,,,,,,,,,,,,0.0
517,TRCIN Katja,CRO,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
518,MOOSA Zainb,UAE,,,,,,,,,,,,,,,,,,,0.0,,0.0
518,YEOW Darlyn Ashley En Qi,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
518,MAJHI URMILA,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
521,JUNELE Nikola,LAT,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0
522,MARTIN Garance,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
523,CHAND Sofiya,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
523,CANESSA Lucrezia,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
525,SLUMAN Talitha,NED,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0
526,ZSOLDOSI Karolina,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
526,CISMAS Darra,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
526,SANDALANKA Kanchana,SRI,,,,,,,,,,,,,,,,,,,0.0,,0.0
529,CHYZHYKOVA Yelyzaveta,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
530,IUBAS Bianca,ROU,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
531,DANSICARE Mailys,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
531,EDIRISINGHE Nethuli,SRI,,,,,,,,,,,,,,,,,,,0.0,,0.0
531,SHRESTHA MANISHA,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
534,ZORIC Mila,SRB,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
535,SUTA Diana,ROU,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
536,MENDEZ SCHIK Hannah,CRC,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,0.0
537,MHANNA Rose,SYR,,,,,,,,,,,,,,,,,,,0.0,,0.0
538,SCHAEFEROVA Justyna,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
539,GULISIK Elvin,TUR,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0
540,PINEDA VALENCIA Juliana,COL,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
541,CACERES Lucie,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
542,PIRES Catarina,POR,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
543,SZURMAI Laura,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
544,MCVINNIE Abigael,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
545,NEMESKALOVA Katerina,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
546,POSVANCOVA Martina,SVK,,,,,,0.0,,,,,,,,,,,,,,,0.0
546,DOBRININA Uliana,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
546,MARINO LASSO Ana,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
549,KULCSAR Dorka,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
550,VOGEL Greta,GER,,,,,,,0.0,,,,,,,,,,,,,,0.0
550,LANG Layla,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
552,LEVRONE Giulia,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
553,VOVCENCO Alexandra,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
554,GORNY Raphaelle,BEL,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0
555,KARDOSS Hanga,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
556,LAJCSIK Roza,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
557,KULLA Anna Nihal,GRE,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0
558,MATEI Ingrid,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
559,SLUYDTS FERNANDEZ Gladys,ESP,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0
560,MARISESCU Maya,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
560,BEECHEY Jessica,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
562,BUCKLEY Ellen,GBR,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
563,DAMMROFF Lotte,NED,,,,,,0.0,,,,,,,,,,,,,,,0.0
563,SHCHERBA Anna,UKR,,0.0,,,,,,,,,,,,,,,,,,,0.0
563,ANATOLE Carla,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
566,PRUSOVA Kristyna,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
567,STANKOVIC Sofija,SRB,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
568,LIMBORSKA Arina,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
569,FERRARINI Chiara,ITA,,,0.0,,,,,,,,,,,,,,,,,,0.0
570,KOVACSI Sara,HUN,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0
571,GONZALEZ RAMOS Claudia,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
572,DELMORAL COMUNIAN Andrea,VEN,,,,,,,0.0,,,,,,,,,,,,,,0.0
573,OROSHAZI Csilla,HUN,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0
574,DOCAVO Elena,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
575,HUSARENKO Daria,UKR,,0.0,,,,,,,,,,,,,,,,,,,0.0
576,ABDELHAMID Aisha,EGY,,,0.0,,,,,,,,,,,,,,,,,,0.0
576,DUBAU Catrinel,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
576,DAVID Stefania,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
579,WYTYK Dominika,POL,,,0.0,,,,,,,,,,,,,,,,,,0.0
579,GYAPJAS Hanna,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
581,CURWEN Becci,GBR,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0
582,AKYALCIN Yagmur,TUR,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0
583,BAIXAULI RUIZ Carme,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
583,WEYERMANN Freya,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
583,NIKOLIC Vana,SRB,,0.0,,,,,,,,,,,,,,,,,,,0.0
586,NICULA Alexandra,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
587,TEODORI Celeste,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
587,HANZL Lilla Zsofia,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
587,CONSUEGRA YUSTE Alejandra,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
587,GIMARD Ninon,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
591,LEONTE Maria,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
591,KRAFT Maja,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
591,GARDE-TSCHERTOK Anna Theresa,DEN,,,,,,,0.0,,,,,,,,,,,,,,0.0
594,RATZ Victoria,AUT,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0
595,JOKUBAUSKAITE Evelina,LTU,,,0.0,,,,,,,,,,,,,,,,,,0.0
595,FITZ Miruna,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
597,WIGZELL Kiara Saxone Angela,MRI,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0
598,ELMALLAH Sarah,EGY,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0
599,CHOW Joelle,MAS,,,0.0,,,,,,,,,,,,,,,,,,0.0
599,MARIN Delia,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
599,SZEKERES Laura,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
599,CATANA Yvonne,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
603,LAMAPEREIRA RODRIGUEZ Julia,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
603,FORGACH Nina,SVK,,,,,,0.0,,,,,,,,,,,,,,,0.0
605,ALVITO Ines,POR,,,,,,,0.0,,,,,,,,,,,,,,0.0
605,CULKIN Nathalie,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
605,CHIU Alecsia,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
605,MARCU Patricia,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
609,MEHRA Sophie,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
610,TEMES Carla,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
610,MAIRIE Penelope,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
612,LYNCH Katie,IRL,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
613,SABAN Shahar,ISR,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0
614,PETRICA Ioana,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
614,DORELLE RODRIGUEZ Marta,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
616,KNOX Eleanor,GBR,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0
617,KARAIVANOVA Zlatina,BUL,,,0.0,,,,,,,,,,,,,,,,,,0.0
617,MCCOY Amy,SWE,,,0.0,,,,,,,,,,,,,,,,,,0.0
619,DEPRATERE FERNANDEZ Norah,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
620,VAN NORREN Aroena,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
621,GARCIA MARTINEZ Mariana,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
622,LEMEE Alice,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
623,CASTANO CORDERO Julia,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
624,FERNANDEZ ALVAREZ Beatriz,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
625,KARAMAN Nisan Ezel,TUR,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0
626,MA Ke,CHN,,,,,,,,,,,,0.0,,,,,,,,,0.0
627,FRASER Elizabeth,GBR,,,,,,0.0,,,,,,,,,,,,,,,0.0
627,ORTIN ROMERO Sandra,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
629,MARCOS PERAL Mara,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
630,SEGURA FUERTES Lorena,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
631,GARCIA MARTINEZ Susana,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
631,SEBERT Mali,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
633,GERGELY Roza Terez,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
634,TAPIA SACEDA Sara,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
635,UZEL Defne,TUR,,,,,,0.0,,,,,,,,,,,,,,,0.0
636,LO I Nga Elia,MAC,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0
637,HOVAGHIMIAN Fira Ren,ARM,,,,,,,,,,,,,,,,,,,,0.0,0.0
638,SANDOVAL Maria,COL,,,,,,,,,,,,0.0,,,,,,,,,0.0
639,RODRIGUEZ Cruz Maria,MEX,,,,,,,,,,,,0.0,,,,,,,,,0.0
639,CARBONELL Marina Andrea,PHI,,,,,,,,,,,,,,,,,,,,0.0,0.0
639,CHIPOCO Valeria,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
642,NUNEZ Fernanda,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
643,PASARA Fatima,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
644,B'CHIR Nourane,TUN,,,,,,,,,,,,,,,,,,,,0.0,0.0
644,YALTA Romina,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
644,PASARA Catalina,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
647,MAY Chantelle,NZL,,,,,,,,,,,,,,,,,,,,0.0,0.0
648,PALMA Maria José,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
648,KAVVADA Eleonora Sylvain Maria,GRE,,,,,,,,,,,,,,,,,,,,0.0,0.0
650,PALMA Domenica,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
651,MENDOZA ECHEGARAY Ariana Camila,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
652,CAMARGO RAFAELA,PER,,,,,,,,,,,,0.0,,,,,,,,,0.0
653,RODRIGUEZ Josefa,CHI,,,,,,,,,,,,0.0,,,,,,,,,0.0
654,GU Jun,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
655,WOJEWODZKA Zuzanna,POL,,,,,,,,,,,,,0.0,,,,,,,,0.0
656,FEDELI Caterina,USA,,,,,,,,,,,,,,,0.0,,,,,,0.0
657,ZHENG Lulu,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
658,WANG YUECI,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
659,AKSOY Ayse,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
660,MAN Yi Ching Alice,HKG,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0
661,KWOK Sze Yi,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
662,LUNG Cheuk Ying,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
662,MAK Long Ching Christy,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
664,GOODCHILD Emily,GBR,,,,,,,,,,,,,0.0,,,,,,,,0.0
665,LI Tsz Yee,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
666,VOELKER Linn Marie,GER,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0
667,TERNI Maria Ludmila,ARG,,,,,,,,,,,0.0,,,,,,,,,,0.0
668,ARIKAN Ada,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
669,WU Ching Fei Amber,HKG,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0
670,HUANG Ching-Yung Sammi,TPE,,,,,,,,,,,,,,,0.0,,,,,,0.0
671,KIM Solmin,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
671,OZIRAK Ipek,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
673,MIKA Emma,FRA,,,,,,,,,,0.0,,,,,,,,,,,0.0
673,ABOGHONIEM Jana,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
673,MOHAMED Nora,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
676,KIM Nayoon,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
676,TSANG Sophie,GBR,,,,,,,,,,0.0,,,,,,,,,,,0.0
678,MOHAMED Lara,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
679,LUI Yin Tung,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
680,DEMIR Beril,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
681,MIKULICKA Zofia,POL,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0
682,CHOI Yejin,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
683,WANG Yu-Hsuan,TPE,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0
684,MA Yu Han,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
684,THOMPSON Holly,GBR,,,,,,,,,,,0.0,,,,,,,,,,0.0
684,YASSER FARAH,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
687,ACOSTA COVA Valentina,VEN,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0
688,ELGAMAL Yasmine,EGY,,,,,,,,,,,,,0.0,,,,,,,,0.0
689,LEE Nakyung,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
689,LI Che Yiu Cherise,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
689,CHAU Jing,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
689,LEE Hyeonyoung,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
693,WU QIUAN,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
694,WONG Wing Lam Grace,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
694,LEE Hyeonseo,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
696,BARRATT Georgina,AUS,,,,,,,,,,,,,,,0.0,,,,,,0.0
697,SU Helen,SWE,,,,,,,,,,,,,,,0.0,,,,,,0.0
697,INCESU Selin Ece,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
697,ZHANG Junyi Irina,AUS,,,,,,,,,,0.0,,,,,,,,,,,0.0
697,MARECHAL Jade,FRA,,,,,,,,0.0,,,,,,,,,,,,,0.0
697,NAMGALAURI Mariam,GEO,,,,,,,,,,,0.0,,,,,,,,,,0.0
697,LAU Tsz Kiu Hermia,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
703,OH Juwon,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
704,MA Ching Kiu,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
704,YANG JINGYI,CHN,,,,,,,,,,,,,,,0.0,,,,,,0.0
706,LI Mathea Mo Tin,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
707,TSENG Yu-Lin,TPE,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0
708,JASMINE KAUR Jasmine Kaur,IND,,,,,,,,,,,,,,,0.0,,,,,,0.0
709,WONG Kei Yiu Anissa,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
709,SARIFI Berru,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
709,HONG Sein,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
709,CRESPO FELICE Sofia,VEN,,,,,,,,,,,,,,0.0,,,,,,,0.0
713,LI Ching Mei,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
714,RATTASERI Bharassami,THA,,,,,,,,,,,,,,,0.0,,,,,,0.0
714,KURSUNOGLU Nisan Mercan,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
716,CAI Haoxuan,CHN,,,,,,,,0.0,,,,,,,,,,,,,0.0
716,KIRTAY Nil,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
716,KUFECILER Ada,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
716,HO Queena,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
720,LEE Chaehee,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
720,ARNELA Lucia,GER,,,,,,,,0.0,,,,,,,,,,,,,0.0
722,LIANG Heather,AUS,,,,,,,,,,0.0,,,,,,,,,,,0.0
722,LAM Hiu Ching,HKG,,,,,,,,,,0.0,,,,,,,,,,,0.0
722,DHAYANITHI Dhivya Dharsini,IND,,,,,,,,,,0.0,,,,,,,,,,,0.0
725,ARIKAN Azra,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
725,HONG Sunah,KOR,,,,,,,,,0.0,,,,,,,,,,,,0.0
725,TYM Danuta,POL,,,,,,,,,,,0.0,,,,,,,,,,0.0
728,YILDIZ Elif Ada,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
729,NETAM Divyanshu,IND,,,,,,,,,,0.0,,,,,,,,,,,0.0
730,AKGUL Oyku Duru,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
731,LATARIA Ana,GEO,,,,,,,,,,,,,,0.0,,,,,,,0.0
731,HUBER Gabi,AUS,,,,,,,,,0.0,,,,,,,,,,,,0.0
731,NETAM Dippanshi,IND,,,,,,,,,,0.0,,,,,,,,,,,0.0
734,LOHIYA Vaidehi Sanjay,IND,,,,,,,,,,0.0,,,,,,,,,,,0.0
734,LEUNG Renee,AUS,,,,,,,,,,0.0,,,,,,,,,,,0.0
734,MINSIN Nil,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
734,GENC Aybuke,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
738,PAULUS Isabella Katelyn,PHI,,,,,,,,0.0,,,,,,,,,,,,,0.0
739,SIMON Emily,AUT,,,,,,,,,,,0.0,,,,,,,,,,0.0
740,ONEN Irmak,TUR,,,,,,,,,,,,,,0.0,,,,,,,0.0
741,BINKO Aleksandra,POL,,,,,,,,,,,0.0,,,,,,,,,,0.0
742,LETKOVICOVA Julia,SVK,,,,,,,,0.0,,,,,,,,,,,,,0.0
743,GOMEZ GARCIA Camila,ESP,,,,,,,,0.0,,,,,,,,,,,,,0.0
