Rank,Name,Nat.,21/09 Belgrade (SA),28/09 Gand (SA),05/10 Genève (SA),12/10 Split (SA),19/10 Dublin (SA),26/10 Barcelone (SA),04/12 Vancouver (A),08/01 Fujairah (A),23/01 Doha (GP),06/02 Wuxi (A),27/03 Astana (A),17/04 Budapest (GP),09/05 Medellín (GP),22/05 St-Maur (A),02/06 Abidjan (CHZ),17/06 Lima (CHZ),18/06 Antony (CHZ),21/06 Delhi (CHZ),22/07 Hong Kong (CHM),Total points
509,SAPAROVA Biybimaryam,UZB,,,,,,,,,,,0.25,,,,,,,,,0.25
510,ABDELWAHAB Sara,EGY,,,,,,,,0.0,0.0,,,0.0,,0.25,,,,,,0.25
511,GAO XINYAN,CHN,,,,,,,,,,0.25,,,,,,,,,,0.25
512,SU Evelyn,CAN,,,,,,,0.25,,,,,,,,,,,,,0.25
513,LEI Xinrui,CHN,,,,,,,,,,0.25,,,,,,,,,,0.25
514,CHARKIEWICZ Karolina,POL,,,,,,,,,,,,0.0,,0.25,,,,,,0.25
515,SUN Ze Yu,CAN,,,,,,,0.25,,,,,,,,,,,,,0.25
516,ABED Nada,KSA,,,,,,,,0.25,0.0,,,,,,,,,,,0.25
517,NAZAROVA Sanam,UZB,,,,,,,,,,,,,,0.25,,,,,,0.25
518,PALPACUER Garance,FRA,,,,,,,,,,,,,,0.25,,,,,,0.25
519,ADEL DOHA,EGY,,,,,,,,0.25,,,,,,,,,,,,0.25
520,VILLAGEOIS Anne Emmanuelle,FRA,,,,,,,,,,,,,,0.25,,,,,,0.25
521,YAO Boula Océane,CIV,,,,,,,,,,,,,,,0.0,,,,,0.0
522,JEETUN Rachna,MRI,,,,,,,,,,,,,,,0.0,,,,,0.0
523,KOUASSI MARIE ROXANE NAOMIE,CIV,,,,,,,,,,,,,,,0.0,,,,,0.0
524,NABEEBOCUS Chamillah,MRI,,,,,,,,,,,,,,,0.0,,,,,0.0
525,FUCCARO Isabella,ITA,,,0.0,,0.0,,,,,,,,,,,,,,,0.0
526,ARORA Ena,IND,,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0
527,NAUCELLE JARDEL Thais,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
528,KOCKEN Ulrieke,NED,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
529,ALNAWAISEH Celine,JOR,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
530,ROGERSON Jessica,GBR,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,0.0
531,MAGNI Bianca,ITA,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
532,FATULA Yuliia,UKR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
533,SIZOO Isaura,NED,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0
534,PINGGERA Elisabeth,AUT,0.0,,,,,,,,,,,,,,,,,,,0.0
534,PALOMO Valeria,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
534,VOLOSHYNA Mariia,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
537,AXINTE Renata,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
538,MIRONOV Leana,EST,,,,,,0.0,,,,,,0.0,,,,,,,,0.0
539,BERENDS Carmen,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
539,LIBERATI Silvia,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
541,VARVERI Fani,GRE,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0
542,RUEDA MOLINERO Julia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
543,VORNANEN Anni,FIN,,,,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0
544,GYOVAI Lilla,NED,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
545,ENGDAHL Sophie,SWE,,,,0.0,,,,,,,,0.0,,,,,,,,0.0
546,TOWNSEND Katherine,GBR,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,0.0
547,ALKLOUB Shahed,JOR,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0
548,CASTILLO GUTIERREZ Laura Mariela,COL,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0
549,DE JONG Cheryl,NED,,0.0,,,,,,,,,,,,0.0,,,,,,0.0
550,KORNIICHUK Yelyzaveta-Olha,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
551,BEKI Andrea,HUN,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
552,KAZMIEROWSKI Chrissa,USA,,,,,0.0,,,,,,,,,,,,,,,0.0
553,RANK Marie Leonore,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
553,DI NORCIA Milena,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
555,LENSSENS Anke,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
555,MUELLER Regula,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
555,AGATH Thordis,AUT,,,,0.0,,,,,,,,,,,,,,,,0.0
558,LABRO Emma,BEL,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,0.0
559,MIHALACHE Sophie,SUI,,,0.0,,,,,,,,,,,0.0,,,,,,0.0
560,EDIS Derin Su,TUR,0.0,,,,,,,,,,,,,,,,,,,0.0
561,KUSHTAN Kseniya,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
561,POLI Clothilde,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
561,FAVA Beatrice,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
561,ANTONUCCI Elena,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
565,LAMZA Kateryna,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
566,MUNTEAN Andreea,ROU,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0
567,POYSTI Laura,FIN,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,0.0
568,AMIAN Laura,GER,,0.0,,,,,,,,,,,,,,,,,,0.0
569,KRSMANOVIC Gala,SRB,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
570,HANSPACH Janine,PAR,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
571,ROELS Kaat,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
571,JONYNAITE Kamila,LTU,,,,0.0,,,,,,,,,,,,,,,,0.0
571,ALVAREZ SANZ Gabriela,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
574,ABDIN Jana,JOR,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
575,LORENZ Therese,AUT,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
576,WAGNER Julia,GER,,,,,,0.0,,,,,,,,,,,,,,0.0
576,ANIS Dinara,EST,,,,0.0,,,,,,,,,,,,,,,,0.0
576,HELLEBO Elsa Von Koss,NOR,,0.0,,,,,,,,,,,,,,,,,,0.0
579,BENTIVOGLI Anna,ITA,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
580,PAZ Martina,URU,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
581,ROMANOVA Oleksandra,UKR,,,0.0,,,,,,,0.0,,,,,,,,,,0.0
582,RANNINGER Maria Pilar,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
582,ROUILLE Justine,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
584,KUVAJA Veera,FIN,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
585,MONOVA Lilyana,BUL,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
586,PENNISI Elena Maria,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
586,DONSKA Neda,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
588,RAMALHO Teresa,POR,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0
589,RAMOS CALDERON Franchelis Margarita,DOM,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0
590,SEILLE Elena,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
590,ANGULO SAN MARTIN Lucia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
592,NEERMAN Anna,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
593,ZALIANI Alice,ITA,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
594,CENA Marzia,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
594,SEAH Denise Ning Yi,SGP,,,,,,,,,,,,,,,,,,0.0,,0.0
594,MYLIAVSKA Viktoriia,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
594,SARVARI Rita,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
594,PASARA Fatima,PER,,,,,,,,,,,,,,,,0.0,,,,0.0
594,GERARD Kim,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
600,CHESHMEDJIEVA Victoria,BUL,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
601,KROESE Roos,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
601,PIEDRAHITA GOMEZ Alejandra,COL,,,,,,0.0,,,,,,,,,,,,,,0.0
601,KARKI Anita,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
601,MASSA Alessia,PER,,,,,,,,,,,,,,,,0.0,,,,0.0
601,PIAO Megan Xu-Ran,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
606,DAMGAARD Josephine Barfod,DEN,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,0.0
607,VAZQUEZ Veronica J.,PUR,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
608,KUMAL Pujan Kumari,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
608,FAURE Lisa,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
608,MELLON-WHELAN Aisling,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
611,ZEPEDA Maileny,GUA,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
612,SPINIELLA Alessandra,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
612,SAVCHENKO Vladislava,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
612,BARERA Francesca Benedetta,ITA,,,,,0.0,,,,,,,,,,,,,,,0.0
612,MORTECRETTE Enora,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
612,PHAT Lyka,CAM,,,,,,,,,,,,,,,,,,0.0,,0.0
617,PETKOVA Mateya,BUL,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
618,SOLORZANO Denise,GUA,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
619,RUSSELL Amelie,GBR,,,,,0.0,,,,,,,,,,,,,,,0.0
619,ANHARSKA Marharyta,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
619,CHANG Chia-Ling,TPE,,,,,,,,,,,,,,,,,,0.0,,0.0
622,CAREY Michele,USA,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
623,PAPUCHI Alejandra,URU,,,,,,,,,,,,,,,,0.0,,,,0.0
623,POMORISAC Teodora,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
623,CHAUDHARY MAYA,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
626,NGUYEN Thu Thao,VIE,,,,,,,,,,,0.0,,,,,,,0.0,,0.0
627,KENESHOVA Akak,KGZ,,,,,,,,,,,0.0,,,,,,,0.0,,0.0
628,RAMIREZ PEINADO Sofia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
628,MILJEVIC Elsa,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
628,GURUNG Kripa,NEP,,,,,,,,,,,,,,,,,,0.0,,0.0
628,MAVRIKIOU Irina,CYP,0.0,,,,,,,,,,,,,,,,,,,0.0
628,SIDENKO Sofiia,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
628,ALBERTI Bettina,URU,,,,,,,,,,,,,,,,0.0,,,,0.0
634,SHEVCHENKO Sofiia,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
635,MANSI Dina,JOR,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0
636,ELIAS Camila,GUA,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
637,VILLACELLINO Aurora Yingchun,SGP,,,0.0,,,,,,,,,,,,,,,,,0.0
637,SZEKERES Lily,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
639,AUTERI Caterina,ITA,0.0,,0.0,,,,,,,,,,,,,,,,,0.0
640,ROSCA Nicole,IRL,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0
641,HOWSER Isabella,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
641,GULYAS Anna,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
641,FLORES REYES Lesly Elizabeth,ESA,,,,,,,,,,,,,,,,0.0,,,,0.0
641,BUA Matilde,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
645,MANSUROVA Ramina,NED,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0
646,COMBATTI Simone,CHI,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
647,CABRERA Fatima,BOL,,,,,,,,,,,,,0.0,,,0.0,,,,0.0
648,MAKSIMOVIC Mia,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
648,BINDER ARROYO Aurora,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
650,KOCKEN Veronique,NED,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
651,ALMARZOOQI Fajar,UAE,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,0.0
652,RODRIGUEZ VALERIO Abigail,CRC,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0
653,HERRING JOHNSON Darcy,GBR,,,,0.0,,,,,0.0,,,,,0.0,,,,,,0.0
654,GEROUDET Justine,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
654,VALLADARES PUERTA Samira,VEN,,0.0,,,,,,,,,,,,,,,,,,0.0
654,OLAH Eniko Julia,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
657,OHON Ustina,UKR,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
658,GUNARATHNA Janidi,SRI,,,,,,,,,,,,,,,,,,0.0,,0.0
658,DUPAS Donatienne,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
658,STEPANOVA Yelyzaveta,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
658,DELLA CIOPPA Sara,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
658,MARTIN Sharmella,JAM,,,,,,,,,,,,,,,,0.0,,,,0.0
658,MION Annalise,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
658,PETKOVA Petya,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
665,DE CLERCK Noa,BEL,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
666,AZNAR Laura,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
666,RUMENOVSKI Cintia,AUT,,,,,0.0,,,,,,,,,,,,,,,0.0
666,GILOVA Dimitra,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
666,JABERG Sydney,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
670,HARTMANN Lilly,AUT,,0.0,,,,,,,,,,,,0.0,,,,,,0.0
671,TOTHMATYAS Zsofia,HUN,0.0,,,,,,,,,,,0.0,,,,,,,,0.0
672,MUKOID Yuliia,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
672,NYKYTIUK Mariia,UKR,,,,,,0.0,,,,,,,,,,,,,,0.0
674,MILICIC MILAKOVIC Andjela,SRB,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0
675,MARCOL Weronika,POL,,,,0.0,,,,,,,,,,,,,,,,0.0
675,FEDORCHUK Solomiia,UKR,,,0.0,,,,,,,,,,,,,,,,,0.0
675,BRUYNOOGHE Renee,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
675,LAPIS Dora Zsuzsanna,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
675,MURRAY Claire,IRL,,,,,0.0,,,,,,,,,,,,,,,0.0
680,BREITWIESER Carolin,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
680,FEHERTOI-NAGY Lili,HUN,0.0,,,,,,,,,,,,,,,,,,,0.0
682,ELTOUDY Bassmala,EGY,,0.0,,,,,,,,,,,,0.0,,,,,,0.0
683,SONMUS Yagmur,TUR,0.0,,,,,,,,,,,,,,,,,,,0.0
684,BUCSA Ioana,ROU,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0
685,LIPPERT Neolie,SWE,,,,0.0,,,,,,,,,,,,,,,,0.0
685,PIEPER Vlinder,NED,,0.0,,,,,,,,,,,,,,,,,,0.0
687,LUSTI Andrina,SUI,,,0.0,,,,,,,0.0,,0.0,,,,,,,,0.0
688,LEYSEN Elise,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
689,DJUKIC Masa,SRB,0.0,,,0.0,,,,,,,,,,,,,,,,0.0
690,GORBACHUK Yelyzaveta,UKR,,,,0.0,,,,,,,0.0,,,,,,,,,0.0
691,VERSTEIJNEN Annabelle,NED,,0.0,,,,,,,,,,,,0.0,,,,,,0.0
692,LUMINEAU Juliet,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
693,DERETIC Dragana,SRB,0.0,,,,,,,,,,,,,,,,,,,0.0
693,DACO Sophie,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
693,TSANEVA Kamena,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
693,ACEDO TRABUCO Ines,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
693,PICKERING Sophia,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
693,MALCHEVSKA Mariia,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
699,DE CAMARGO Maria Rita,BRA,,0.0,,,,,,,,,,0.0,,,,,,,,0.0
700,PESSAROSSI Anais,FRA,,0.0,,,,,,,,,,,,,,,,,,0.0
700,GONZALEZ PARABACUTO Patricia Carolina,ARG,,,,,,0.0,,,,,,,,,,,,,,0.0
702,ARDRI Ilariya,POL,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
703,RAHADIAN Ariani Syafitri,INA,,,0.0,,,,,,,,,,,,,,,,,0.0
703,BARROSO Joana,POR,,,,,,0.0,,,,,,,,,,,,,,0.0
705,FREDERIKSEN Mia Maja,DEN,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0
706,NIEL Magali,FRA,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
707,DE BROECK Clara,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
707,JURT Florina,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
707,STADLER Andreea,ROU,0.0,,,,,,,,,,,,,,,,,,,0.0
710,BANDZELADZE Mariam,GEO,,,,,,0.0,,,,,,,,,,,,,,0.0
710,KIMPE Nathalie,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
712,LASMOLLES Stephanie,FRA,,,,,,0.0,,,,,,,,,,,,,,0.0
712,GRAHAMSLAW Kira,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
712,STOEVA Dennitsa,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
715,LENGYEL Lilla,HUN,,0.0,,,,,,,,,,,,,,,,,,0.0
715,EVERETT Maisie,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
715,BOYADZHIEVA Iva,BUL,0.0,,,,,,,,,,,,,,,,,,,0.0
718,SÜTÖ Daniela,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
718,CIANI Carolina,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
718,HAWTHORNE Katy,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
718,NISHIOKA Yoko,JPN,0.0,,,,,,,,,,,,,,,,,,,0.0
718,DEPREZ Bieke,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
723,DRAG Sofia,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
724,VAN DER SCHUEREN Joke,BEL,,0.0,,,,,,,,,,,,,,,,,,0.0
725,SAPIN-DORNACHER Maria,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
725,BUCHANAN Courtney,AUS,,,,,,0.0,,,,,,,,,,,,,,0.0
727,NESBITT Hannah,GBR,,,0.0,,,,,,,,,,,0.0,,,,,,0.0
728,POPOVA Kseniya,UKR,,,,0.0,,,,,,,,,,,,,,,,0.0
729,AAMLID Anaelle,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
729,SEPPALA Milka,FIN,,,,,,0.0,,,,,,,,,,,,,,0.0
731,GILDERNES Ada Sofie,NOR,,,,,,,,,,,,,,0.0,,,0.0,,,0.0
732,MORENO ANDRES Maria Isabel,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
733,DASWANI ANGULO Irene,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
733,PEREZ-MANGLANO ESTEBAN Noa,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
735,DE PREUX Camille,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
735,CASAMENTI Alice,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
737,MYRONIDOU SYMEONIDOU Athina,GRE,,,,,,,,,,,,,,,,,0.0,,,0.0
737,ARREGUI IDOATE Irene,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
739,POGHOSOVA Emma,ARM,,,,,,,,,,,,,,,,,0.0,,,0.0
739,PATERSON Eilidh,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
739,LINDHOLM Ingrid,SWE,,,,,,0.0,,,,,,,,,,,,,,0.0
742,KEUSCH Zoe,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
742,TEIJEIRO CALDERON Nuria,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
744,MIKELIC Lara,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
744,REDEL ADEVA Cayetana,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
746,ALBRECHT Giulia,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
746,ORTEGA LOPEZ Maria,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
748,TORRISI Sofia,ITA,,,,,,0.0,,,,,,,,,,,,,,0.0
748,JURT Katharina,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
750,CHENNELLS Poppy,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
750,HEINRICHS Aaliyah,USA,,,,,,0.0,,,,,,,,,,,,,,0.0
752,APRIAMASHVILI Mariami,GEO,,,,,,0.0,,,,,,,,,,,,,,0.0
753,PETRENKO Hanna,UKR,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
754,ORTEGA MORILLAS Carmen,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
755,DE PREUX Audrey,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
755,SIMCIC Ela,SLO,,,,0.0,,,,,,,,,,,,,,,,0.0
757,GOMEZ MARTIN Rebeca,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
758,AL NAHLA Lamar,UAE,,,,0.0,,,,0.0,,,,,,,,,,,0.0,0.0
759,PEREIRO CONCHA Vera,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
760,PEDROSA MATEOS Belen,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
760,ODOLO Kathrin,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
762,NAVARRO NUNEZ Marta,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
762,KUJUNDZIC Nora,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
762,KEISER Lena,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
765,VUKOJEVIC Andrea,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
765,RIADI Salema,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
765,GABRIC Antea,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
765,MENG Yifan,CHN,,,,,,,,,,,,,0.0,,,,,,,0.0
769,MORENO BASURTO Isabel,ESP,,,,,,0.0,,,,,,,,0.0,,,,,,0.0
770,IZMAYLOVA Maria,NOR,,,0.0,,,,,,,,,,,,,,,,,0.0
771,ALSHAMMA Reem,UAE,,,,0.0,,,,,,,,,,,,,,,,0.0
771,CHALKHAASUREN Enkhbadral,MGL,,,0.0,,,,,,,,,,,,,,,,,0.0
771,GRIGALIUNAS CAMPOMANES Clara,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
774,FLITMAN Gabrielle,MEX,,,,,,,,,,,,,0.0,,,,,,0.0,0.0
775,POLJAK Lena Marija,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
775,MOREL Viktoria,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
775,SCHLEGEL Lena,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
778,BESTER Natania,RSA,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
779,JAKSIC KOVAC Sara,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
779,VANDAELE Anais,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
781,CAROUSSOS Symi,CAN,,,,,,,,,,,,,0.0,,,,,,,0.0
781,CRISTIA CAMPOMANES Ines,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
783,CAMPOS ESQUIVEL Andrea,CRC,,,,,,,,,,,,,0.0,,,,,,,0.0
783,MORENO VALIENTE Juliana Sofia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
783,OSWALD Magda,CRO,,,,0.0,,,,,,,,,,,,,,,,0.0
786,BRAVO LLINARES Marta,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
787,LOPEZ BELLIDO Natalia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
788,JANEZ QUINTANILLA Lucia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
789,ALVAREZ APARICIO Eva,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
790,VALLADARES PUERTA Sofia,VEN,,,,,,,,,,,,,0.0,,,,,,,0.0
790,DEL PESO OROPESIANO Alejandra,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
792,DANG Aria,USA,,,,,,0.0,,,,,,,,,,,,,,0.0
792,CASTRO NIAMPIRA Paula Isabella,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
794,RACEU Cristina,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
795,LOZANO OLARTE Laskmi Natalia,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
795,PRIETO LUNA Irene,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
797,MARI VILACHA Ariadna,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
798,NARVAEZ LOZANO Katrin Alejandra,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
798,LOZANO PORRAS Lucia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
800,FLORES Melina,MEX,,,,,,,,,,,,,0.0,,,,,,,0.0
801,CANO DIOSA Rosa Maria,ESP,,,,,,,,,,,,,0.0,,,,,,,0.0
801,CABALLERO SOLCHAGA Paula,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
801,RUIZ GARRIDO Estela Patricia,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
804,FERNANDEZ ANTON Alba,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
805,GARCIA BLANCO Paula,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
805,CANO JIMENEZ Ivana Gabriela,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
807,DE CUENCA ALONSO Elena,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
807,ZULUAGA ZULUAGA Sofia,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
809,SALMINEN Sara,FIN,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0
