Rank,Name,Nat.,")AS(
amanaM
90/70",")AS(
araosimiT
90/02",")AS(
madretsmA
90/72",")AS(
orienaJ
ed
oiR
01/40",")AS(
eropagniS
01/11",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/70",")A(
akoukuF
21/50",")A(
siraP
10/90",")PG(
niruT
20/60",")PG(
amiL
30/02",")A(
oriaC
40/61",")A(
lubnatsI
40/03",")PG(
iahgnahS
50/51",")ZHC(
najdibA
60/30",")ZHC(
amiL
60/71",")ZHC(
ynotnA
60/81",")ZHC(
ihleD
60/12",")MHC(
gnoK
gnoH
70/22",Points
478,BOUSTEDT Erik,SWE,,,0.0,,,,,0.0,,0.25,0.0,,,,,,,,,,0.25
479,MAENG Gwanbo,KOR,,,,,,,,,,,,,,0.25,,,,,,,0.25
480,BURBERRY Alan Patrick,BRA,,,,,,,,,,0.25,0.0,,,,,,,,,,0.25
481,CHAN Kyle,HKG,,,,,,,,,,,,,,0.25,,,,,,,0.25
482,CHEN Mitchell Lixuan,AUS,,,,,,,,,,0.25,,,,,,,,,,,0.25
483,PACHOLCZYK Szymon,POL,,,,,,,,0.0,,0.25,0.0,,,0.0,,,,,,,0.25
484,FENNICHE Mohamed Rayane,TUN,,,,,,,,,,0.25,,,,0.0,,,,,,,0.25
485,FREDERICK Arthur,BEL,,,,,,,,,,0.25,,,,0.0,,,,,,,0.25
486,ONIK Elijah,USA,,,,,,,,,,0.25,0.0,,,,,,,,,,0.25
487,EL-EBRASHI Junes,EGY,,,,,,,,,,0.25,0.0,,,,,,,,,,0.25
488,KALLEBY Alvaro,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
489,LOBO Guilherme,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
490,FUMAGALLI Giorgio,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
491,FOSCHINI Luiz,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
492,KOUADIO Yves Cedric,CIV,,,,,,,,,,,,,,,,0.0,,,,,0.0
493,WANYOIKE Isaac,KEN,,,,,,,,,,,,,,,,0.0,,,,,0.0
494,KURIA BRIAN,KEN,,,,,,,,,,,,,,,,0.0,,,,,0.0
495,ALHAJJI Mohammed,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
496,PENG Yun-Hao,TPE,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0
497,ALAMIRI Mubarak,BRN,0.0,,,,,,,,,,,,,,,,,,,,0.0
498,NOLAN Ciaran,IRL,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
499,TAY Daniel Yee Jye,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
499,DARMANI Evan,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
501,CIOBANICA Andrei,ROU,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0
502,KARMASTAJI Hussain,BRN,0.0,,,,,,,,,,,,,,,,,,,,0.0
502,FREEBODY MAX TIAN-LE,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
504,AL JALLAF Hamad,UAE,0.0,,,,,,,,,,,,,,,,,,,,0.0
504,HO Man Lai,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
506,FUSCO Cristiano,SVK,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
507,KERNEIS Eliot,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
507,ALNASRI Feras,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
507,ASHIDA Tomoaki,JPN,,,,,0.0,,,,,,,,,,,,,,,,0.0
510,SHAMEL Abdulrahman,BRN,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
511,DAVIES Jack,AUS,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0
512,FONTAINE Yves,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
512,ALQAROS Mahdi,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
514,BODO Peter Zsombor,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
515,SALMERON JIMENEZ Mihail Alejandro,ESA,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
516,MAC DONALD HUGHES William,IRL,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0
517,KELLY David,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
517,HOU Yen-Bin,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
519,RIVERA CORNIEL Miguel Gabriel,DOM,,,,,,,,,,,,,,,,,0.0,,,,0.0
519,NEO Max Wei Kit,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
519,CHAUDHARI Aarav,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
519,ALFEHAID Fahad,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
523,BUKHLAIF Omar,BRN,0.0,,,,,,,,,,,,,,,,,,,,0.0
523,WANG Po-Sen,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
523,PEREZ SANTOS JORGE LUIS,GUA,,,,,,,,,,,,,,,,,0.0,,,,0.0
526,ORTEGA II Jose-Arnel Aurelio,PUR,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0
527,YIP Nathan Tzeng Loen,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
527,MOHAMED Khalid,BRN,0.0,,,,,,,,,,,,,,,,,,,,0.0
529,NG Hoi Chung,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
529,ALKHAZAL Haidar,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
531,DENKOVITKIJ Natawan,THA,,,,,0.0,,,,,,,,,,,,,,,,0.0
532,WALET Koen,NED,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
533,BAN Sebestyen,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
534,PANYABARAMEE Bhumrapee,THA,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0
535,VAABEN Frode,DEN,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
536,CANO Eliu,GUA,,,,,,,,,,,,,,,,,0.0,,,,0.0
537,CHANCUSIG CACUANGO Jose Andres,ECU,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0
538,DUBREUIL Maxime,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
538,CAO Minh Duyet,VIE,,,,,0.0,,,,,,,,,,,,,,,,0.0
540,DOGARIU Felix,ROU,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
541,TASADA Ramiro,ARG,,,,,,,,,,,,,,,,,0.0,,,,0.0
541,KAMALANATHAN Reeqhan Vinod,MAS,,,,,0.0,,,,,,,,,,,,,,,,0.0
543,RICHARD Fabien,FRA,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
544,GALVEZ IDARRAGA Juan Mateo,BOL,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0
545,SIU Hin Ki Branko,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
546,CHAVEZ HUAMAN Diego,PER,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0
547,ADAMOS Xavier,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
548,BARTOSZEK Tomasz,POL,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
549,REYES CONSTANZA Mauricio Jose,ESA,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
550,TAN Le Kai,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
550,PAOLETTI Riccardo,ITA,,,,,,,0.0,,,,,,,,,,,,,,0.0
552,CHANG Sean Keng Weng,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
553,HAMZI Balazs,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
554,SHARMA Ravi,IND,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0
555,LANCARIC Branislav,SVK,,,,,,0.0,,,,,,,,,,,,,,,0.0
556,DING CALEB RUOXUAN,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
557,NAPOLITANO Isaia,ITA,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
558,MARTINS Joao Queiros,POR,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0
559,YAN Jing-Cheng,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
559,KEEN Finn,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
561,PERRIN Camille,GBR,,,0.0,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0
562,SIRB Alexandru,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
562,LEE Thaddaeus Ted,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
564,JURCZAK Mateusz,POL,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0
565,VAN EGMOND Dirk Jan,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
565,KHOO Alvin,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
565,ROSE Benjamin,USA,,,,,,,0.0,,,,,,,,,,,,,,0.0
568,PASIN Elia,ITA,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
569,CULKIN Alexander,GBR,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0
570,KOREN Evyatar,ISR,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
571,SIU Wing Hei,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
572,PICHLMAIER Aurelius,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
573,ROZSA Csanad Balazs,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
574,CHEW Joshua Kai En,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
574,TIMALSINA GYANENDRA,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
576,BENYUS Andras,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
577,GRELA Tristan,SWE,,,0.0,,,,,,,,,,,,,,,,,,0.0
577,TSATHAS Alexandros,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
577,KUO Chang Chuan,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
577,MUSTAPHA Muhill,BAN,,,,,,,,,,,,,,,,,,,0.0,,0.0
581,ALHODAIB Ibrahim,KSA,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
582,MENEZES Duarte,POR,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,0.0
583,BACHYK Volodymyr,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
584,KHOEUN Tima,CAM,,,,,,,,,,,,,,,,,,,0.0,,0.0
585,JURAS Danielius,LTU,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0
586,MENDIZABAL CAPPADOZZI Leone,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
587,ROMANENKO Arsenii,UKR,,0.0,,,,,,,,,,,,,,,,,,,0.0
587,WONG Tsz Kit,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
589,FOGT Jakub,POL,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
590,NARMANDAKH Chingis,MGL,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
591,ZHANG Zhenggang,SGP,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
592,IACOMONI Matteo,ITA,,,0.0,,,,,,,,,,,,,,,,,,0.0
592,BADRAK Iaroslav,LTU,,,,,,,,,,,,,,,,,,0.0,,,0.0
592,GUIMARAES Jose Miguel,POR,,,,,,,,,,,,,,,,,,0.0,,,0.0
595,FLOREA Luca,GBR,,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0
596,SHOEMAKER Louis Marti,PHI,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
597,LOPEZ GOMEZ Jose Miguel,ESP,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0
598,SOH Jasper,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
599,OURSLER Charles,USA,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
600,WEE Lionel,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
600,ASSALAARACHCHI Kulan,SRI,,,,,,,,,,,,,,,,,,,0.0,,0.0
602,GILCHRIST Matthew,AUS,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,0.0
603,BANYIK Natanael,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
604,WONG Paak Hang Jacky,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
604,GOH LUCAS YEW HEE,MAS,,,,,0.0,,,,,,,,,,,,,,,,0.0
604,EDIRISINGHE Dinitha,SRI,,,,,,,,,,,,,,,,,,,0.0,,0.0
607,KORZHOVOI-LERNER Artem,UKR,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0
608,STEPANEK Petr,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
609,BHANDARI ANUP,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
609,KODIKARA Kasun,SRI,,,,,,,,,,,,,,,,,,,0.0,,0.0
611,GHRAIRI Ali,TUN,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
612,BECHET Pierre,NZL,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,0.0
613,ROCCHI Sebastiano,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
614,GHERMAN Nikitas,MDA,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
615,LINDNER Ruben,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
615,LIU Hsiu-Liang,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
615,LAMA BUDDHIST BIR,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
618,SZEKI Bence,HUN,,0.0,,,,,,,,,,,,,,,,,,,0.0
618,MATUSEWICZ Kamil,POL,,,,,,,0.0,,,,,,,,,,,,,,0.0
618,LIANG Gordon,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
618,FRIHA YAHIAOUI Mahdi,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
622,ROMERO ORTIN Hector,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
623,POSTOVAN Alex,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
623,COBB Matthew,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
625,MOERBEEK Jonas,NED,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
626,KESSLER Vilmos,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
627,FERREIRO German,ESP,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,0.0
628,LIM Shawn,SGP,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
629,SIMONOV Andrii,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
630,GAVEN MARY Thibaut,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
630,HUI Ho Fung Marcus,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
632,CAILLOUX-OTT Arthur,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
633,LORENZO PEREIRA Alejandro,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
633,DEL MEDICO Lorenzo,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
635,MACOVEI Alexandru,ROU,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0
636,STIUBE Andrei,ROU,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0
637,STRELTSOV Oleksiy,UKR,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0
638,DE MICHIELI VITTURI Federico,ITA,,,,,,,0.0,,,,,,,,,,,,,,0.0
638,SPOSATO Federico Alberto,ITA,,,,,,,0.0,,,,,,,,,,,,,,0.0
640,TRESTYANSZKI Denis,SVK,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
641,LEE Christopher,GBR,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
642,CREES Ashley,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
642,VASILACHE Rares,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
642,LACKO Mate,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
645,MALEKSHAHIAN Darius,ROU,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0
646,BURN Joshua,GBR,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
647,JURGA Stanislaw,POL,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
648,ROMERO MONTILLA Roger Jesus,VEN,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,0.0
649,CUFADAR Mustafa Burak,TUR,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0
650,CETINEL Baha Baykal,TUR,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,0.0
651,BUDAK Ada,TUR,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0
652,CHINTE Oliver,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
653,ROBANESCU Mihnea,ROU,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
654,CECET Artiom,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
654,NIVARD Romain,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
656,KOSZTOLANYI Hunor,HUN,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0
657,MIRBACH Maximilian,GER,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
658,LISOVYI Bohdan,UKR,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0
659,ARCHER Mihkel,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
660,VALE Afonso,POR,,,,,,,0.0,,,,,,,,,,,,,,0.0
660,VASVARI Bence,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
660,GAI Antonio Roman,ITA,,,0.0,,,,,,,,,,,,,,,,,,0.0
660,BIENKOWSKI Aleksander,POL,,0.0,,,,,,,,,,,,,,,,,,,0.0
664,JARAS EGUINOA Martin,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
665,CHIRNOGEANU Madalin,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
665,JEANNIN BANGOURA Zakaria,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
667,RASCADO NOVAS Marcos,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
667,JAMES Alexander,GBR,,0.0,,,,,,,,,,,,,,,,,,,0.0
669,PANAZZOLO Marco,ITA,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0
670,ZDORS Markuss,LAT,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,0.0
671,BARRASS Sam,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
671,BEBESI Kolos,HUN,,0.0,,,,,,,,,,,,,,,,,,,0.0
673,COLOMBO Mattia,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
673,ANTONINI Gian Maria,ITA,,,,,,,0.0,,,,,,,,,,,,,,0.0
673,BANHIDI Balazs,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
673,REY Yal,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
677,TOURNIER Lucas,SUI,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0
678,MARACZ Laszlo,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
678,TIMARU Tudor,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
680,GONCALVES Andre,POR,,,,,,,0.0,,,,,,,,,,,,,,0.0
681,GRIGOROVICI David,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
681,BELBOUAB Mohammed,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
683,TOTH Marton,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
684,KAMPHAUS Eric,LUX,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
685,ANDERSEN Emil Ulrik,DEN,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0
686,BODIS Kristof,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
687,BERNARDESCHI Filippo,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
688,GONZALEZ RODRIGUEZ Mauro,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
688,COJANU Matei,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
690,MURILLO DIAZ Jorge Eduardo,COL,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0
691,HRGOVIC Milos,SRB,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
692,LISBOA DE SOUSA Esteban,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
693,OLINSKYI Denys,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
694,HEISKARI Ilmari,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
694,SEMEDO SANCHES Dylan,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
696,CECET Nikita,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
697,RAPOPORT Yaakov Ber,ISR,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,0.0
698,VAN DEN BERG Sam,NED,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0
699,STUDENT Mika,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
699,EFROS Filip,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
701,MONGE Tomas,POR,,,,,,,0.0,,,,,,,,,,,,,,0.0
701,ROCCHINI Ephram,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
701,ROBINET Samuel,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
704,KLOTZ Isaiah,USA,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
705,VILORIA STEPANOVA Victor Manuel,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
706,KONCZ Endre,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
707,GRILLI Alessandro,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
707,DEKOUCHE Smain,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
709,DUCHAK Ostap,UKR,,0.0,,,,,,,,,,,,,,,,,,,0.0
710,BAJNOK Aron,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
711,KOSTER Fabian,NED,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
712,ANTONIO Adilson Jose F.,ANG,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0
713,ANDRONIC Radu,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
714,PARPEYRAT FOURNEL Ulysse,FRA,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
715,DE LA CAL ALMENDARIZ Manuel,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
715,LETE MUNOZ-REPISO Mateo,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
717,PAVEL Gabriel,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
717,DEREZIC Maksimilijan,CRO,,,,,,0.0,,,,,,,,,,,,,,,0.0
719,DIJKSTRA Thomas,NED,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
720,DURAND Marc,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
720,DAVIES Jack,GBR,,,,,,,0.0,,,,,,,,,,,,,,0.0
720,BACIU Rares,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
723,ABELE Reinis,LAT,,,0.0,,,,,,,,,,,,,,,,,,0.0
723,BACIU Victor,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
723,KOMLEV Borys,UKR,,,,,,0.0,,,,,,,,,,,,,,,0.0
723,GARRIDO COELLO Martin,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
727,PELLIS Marco,ITA,,,0.0,,,,,,,,,,,,,,,,,,0.0
727,SKLIAROV Dmytro,UKR,,0.0,,,,,,,,,,,,,,,,,,,0.0
729,ROJAS CANTALUPPI David,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
730,HOLEMY Vojtech,CZE,,,,,,0.0,,,,,,,,,,,,,,,0.0
730,ISTRATE Matei,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
732,NESHODA Krystof,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
733,GHETU Robert,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
733,YAHIAOUI Keylian,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
733,MORENO DIAZ Eduardo,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
736,DJURIC Mario,SRB,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0
737,AINAGA PEREZ Axel,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
737,MICHEL Arthur,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
739,BERCEANU Rares,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
739,URIA FARRES Alex,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
739,COSIC Rastko,SRB,,,,,,0.0,,,,,,,,,,,,,,,0.0
742,REPO Juho Oskari,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
742,PESCE Antonio Guido,ITA,,0.0,,,,,,,,,,,,,,,,,,,0.0
744,MARIN Stefan,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
744,BRUNNER Remi,SUI,,,0.0,,,,,,,,,,,,,,,,,,0.0
746,VAN ZUIJLEN Pepijn,NED,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
747,PAUL ROMERO Mateo,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
748,KAMPHAUS Xavier,LUX,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
749,NOWAK Hannes,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
749,COZMA Dragos,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
751,BADROEL RIZWAN Umar Zafran,MAS,,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0
752,MOASA Christian,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
752,SALVADORI Dario,ITA,,,,,,,0.0,,,,,,,,,,,,,,0.0
754,CIORNEA Sabin,ROU,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
755,PENA ESPINOSA DE LOS MONTEROS Borja,ESP,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
756,LENSCHOW Nick-Malte,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
756,NEGREA Matei,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
756,MAKK Balazs,HUN,,,,,,0.0,,,,,,,,,,,,,,,0.0
756,MOCIOFAN Theodor,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
760,JUNTTILA Oskari,FIN,,,,,,,0.0,,,,,,,,,,,,,,0.0
761,BOES Xander,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
762,DELCOURT Dimitri,BEL,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0
763,JANS KOHNEKE Teun,NED,,,0.0,,,,,,,,,,,,,,,,,,0.0
763,GREGUREC Leon,CRO,,,,,,0.0,,,,,,,,,,,,,,,0.0
763,MICU Vlad,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
763,MARGARITESCU Mircea,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
767,CIGANEK Jan,CZE,,,,,,0.0,,,,,,,,,,,,,,,0.0
767,HERGUETA GOMEZ Adriano,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
