Rank,Name,Nat.,")AS(
aimrU
90/60",")AS(
kivajkyeR
90/12",")AS(
dnaG
90/82",")AS(
grebmeruN
01/11",")AS(
lubnatsI
01/81",")AS(
aifoS
01/62",")A(
reglA
11/60",")PG(
snaélrO
21/50",")PG(
sinuT
10/01",")A(
ytiC
ekaL
tlaS
10/32",")A(
tsepaduB
30/72",")A(
audaP
40/71",")PG(
noehcnI
50/10",")A(
oriaC
50/22",")ZHC(
najdibA
60/20",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
510,GHADIMI AFSHAR Benyamin,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
512,GOUGOULIAS Olympios,GBR,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0
513,MESSICA Lucas Maurice Andre,TUN,,,0.0,,,,,,0.0,,,,,,,,,,,0.0
514,CAPATINA Sebastian,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
514,SHAHABI ZADEH Mahdi,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
516,MEITSOV Nikola,BUL,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0
517,PELOV Stanimir,BUL,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
518,TAN Julius Xuan Lin,SGP,,,,,0.0,,,,,,,,,,,,,,,0.0
519,STANESCU Razvan,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
520,HO Ian,GBR,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0
521,HALAIDZENKA Artur,BLR,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0
522,MATIKKE Matthew,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
523,CROFT Liam,GBR,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0
524,NEUHAEUSER Marc,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
525,BARIS Efe,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
525,RADU Matei,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
525,WESLER Logan,USA,,,,0.0,,,,,,,,,,,,,,,,0.0
528,GOSPODINOV Nikola,BUL,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
529,LENNKH Nikolaus,AUT,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
530,KRASNOVYD Roman,UKR,,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0
531,MITCHELL-ROWE Decordoba,JAM,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0
532,MACOVEI Cristian,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
533,FASTING Thomas,BRA,,,,,0.0,,,,,,0.0,,,,,,,,,0.0
534,SANTOS CORREA Rafael,URU,,,,,,,,,,,,,,,,0.0,,,,0.0
534,AUDENAERT Sil,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
534,GAVRILA Cristian,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
534,LEONI Nicolo,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
538,MACLEAN Guillermo,URU,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
539,ATANASOV Konstantin,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
539,OSMANAGAOGLU Ziya Arda,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
539,ALVAREZ ALEJANDRO,GUA,,,,,,,,,,,,,,,,0.0,,,,0.0
542,SAPI Vince,HUN,,,0.0,,0.0,,,,,,,,,,,,,,,0.0
543,CASTRO LINARES Hector David,DOM,,,,,,,,,,,,,,,,0.0,,,,0.0
543,SERINO Mattia,SUI,,,,0.0,,,,,,,,,,,,,,,,0.0
543,MANEA Noah,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
546,SPIELBERG Severin,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
547,TATULESCU Chrisley,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
548,CHAKAROV Yoan Angel,BUL,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
549,WEBER Alexander,ARG,,,,0.0,,,,0.0,,,,,,,,,,,,0.0
550,ZANOTTO Alvise Ludovico,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
550,NUNEZ Leonardo,PER,,,,,,,,,,,,,,,,0.0,,,,0.0
550,FAVILLA Giorgio,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
553,RODRIGUEZ MEDINA Darlin Rafael,DOM,,,,,,,,,,0.0,,,,,,0.0,,,,0.0
554,KUMUK Poyraz,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
554,JERKOV Kamen,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
556,STAYKOV Michail,BUL,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0
557,LIU Dominic,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
558,CASTILLO Manuel,GUA,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0
559,CHAUVEL Titouan,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
559,VELICU Mihnea,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
561,SCHIFFER Matti,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
562,ENRIQUEZ Carlos,GUA,,,,,,,,,,,,,,,,0.0,,,,0.0
562,GULERER Berke Benjamin,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
564,ILIEV Viktor,BUL,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
565,BARR Jacob,GBR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
566,DARTOIS Jules,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
566,MARROQUIN CASTANEDA Leonidas Reynaldo,ESA,,,,,,,,,,,,,,,,0.0,,,,0.0
568,SWINSCOW Eiger,GBR,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,0.0
569,TAS Alper,TUR,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
570,MONSALVA Roberto,CHI,,,,,,0.0,0.0,,,,,,,,,,,,,0.0
571,ALHAMMADI Ahmed,UAE,,,,,,,,,,,,,,0.0,,,,0.0,,0.0
572,ESPINOZA SOMOZA Celso Evenir,NCA,,,,,,,,,,,,,,,,0.0,,,,0.0
572,WEBER Jean-Nicolas,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
574,IVANOV Nikola,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
574,SALDANA Jesus,DOM,,,,,,,,,,,,,,,,0.0,,,,0.0
574,MACIT Uras,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
574,LINARES GARCIA EVAN EZEKHIEL,GUA,,,,,,,,,,,,,,,,0.0,,,,0.0
574,MUBARAK Khalid,UAE,,,,,,,,,,,,,,,,,,0.0,,0.0
574,LIN Shao-Jun,TPE,,,,,,,,,,,,,,,,,,0.0,,0.0
574,PREDARIS Vasileios,GRE,,,,,,,,,,,,,,,,,0.0,,,0.0
581,VODENOV Radoslav,BUL,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
582,BULMER Hamish,NZL,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
583,AKPINAR Ali Baris,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
584,CHEN Colin,AUS,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0
585,ASLAN Eren,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
585,MIHAYLOV Nikolay,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
587,BRODEN Daniel,SWE,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,0.0
588,CONCEPCION Christian Anthony,PHI,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
589,LEONE Samuel,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
589,DAMYANOV Danail,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
591,LARRAGUIBEL Gabriel,CHI,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,,0.0
592,ALSALAMI Abdalla,UAE,,,,,,,,,,,,,,,,,,0.0,,0.0
592,MANNUCCI Davide,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
592,VISCARDI Lorenzo,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
595,RICHTER Axel,SUI,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
596,ALAMMARI Husain,KUW,,,,,,,,,,,,,,,,,,0.0,,0.0
596,TOKER Ates Efe,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
598,UGURLU Mehmet Emir,TUR,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,,,,0.0
599,KAFATARIDIS Dimitrios,GRE,,,,,,,,0.0,,,,,,,,,0.0,,,0.0
600,STEFAN Mario,ROU,,,,,,0.0,,,,,0.0,,,,,,,,,0.0
601,KHOEUN Tima,CAM,,,,,,,,,,,,,,,,,,0.0,,0.0
601,ALBINO Francesco,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
603,WECHT Arthur,AUT,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
604,KAHANDUGODA Methul,SRI,,,,,,,,,,,,,,,,,,0.0,,0.0
604,KAIMER Carl,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
604,PROKOPIEV Miroslav,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
607,VANQUAETHOVEN Brecht,BEL,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0
608,GUL Mustafa Can,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
608,VASILESCU Sergiu,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
608,DEBES Gauthier,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
608,SOPIAN Za'em Zahieruddin,BRU,,,,,,,,,,,,,,,,,,0.0,,0.0
612,YOUSSEF Ezmashli,SYR,,,,,,,,,,,,,,,,,,0.0,,0.0
612,MELEGH Boldizsar,GBR,,,,0.0,,,,,,,,,,,,,,,,0.0
612,RADEV Maxim,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
612,METHUSARA Ramithu,SRI,,,,,,,,,,,,,,,,,,0.0,,0.0
616,NITU Horia,ROU,,,,,,0.0,,,,,,,,,,,,,,0.0
617,JANSSEN Loek,GBR,,,0.0,,,0.0,,,,,,,,,,,,,,0.0
618,NGUYEN Thien An,VIE,,,,,,,,,,,,,,,,,,0.0,,0.0
619,DUENGER Karl,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
620,CALGIN Poyraz Efe,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
621,JURYNIEC Michal,GBR,,,0.0,,0.0,,,,,,,,,,,,,,,0.0
622,ALOMRAN Ahmed,KSA,,,,,0.0,,,,0.0,,,,,,,,,,,0.0
623,TOME Nicolas,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
624,ADZIC Veljko,SRB,,,,,,0.0,,,,,,,,,,,,,,0.0
625,SAUNDERS Brynmor,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
625,GUVEN Uluc Eke,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
627,ALEXIEV Christian,BUL,,,,,,0.0,,,,,0.0,,,,,,,,,0.0
628,KURVERS Lester,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
628,SCHERLEITHNER Julian,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
630,POPILIEV Zdravko,BUL,,,,,,0.0,,,,,,,,,,,,,,0.0
630,CERASI Liam,IRL,,,0.0,,,,,,,,,,,,,,,,,0.0
632,HERMANN Eske Penjor,DEN,,,,0.0,,0.0,,,,,,,,,,,,,,0.0
633,REIFSCHNEIDER Enrico,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
634,TAS Arda,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
635,LIU Justin,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
636,VOLCKAERT Cedric,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
636,CALISKAN Tuna,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
638,PLASTOW Mattia,GBR,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0
639,WONAME Kaden,GHA,,,,,,0.0,,,,,,,,,,,,,,0.0
640,STEINBERG Jesko,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
641,MLADENOVIC Mihajlo,SRB,,,,,,0.0,,,,,,,,,,,,,,0.0
642,GALAZKA Dylan,GBR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
643,LIBERATO Salvatore,ITA,,,,0.0,,,,,,,,,,,,,,,,0.0
644,PERROUD Adrien,SUI,,,0.0,,,,,,,,,,,,,,,,,0.0
644,ALOBAID Abdullah Aqeel,KSA,,,,,0.0,,,,,,,,,,,,,,,0.0
644,GULENELI arslan,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
647,GOMMEL Colin,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
648,NG ROY,SGP,,,,,0.0,,,,,,,,,,,,,,,0.0
649,WEISER Tim,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
649,ERGUL Yigit Kagan,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
651,LANZMICH Oskar,GER,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
652,DIACOS Jordan,CAN,,,,,0.0,,,,,,,,,,,,,,,0.0
652,LAMEZEC Andre,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
654,WALMSLEY Samuel,GBR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
655,KARAGULLE Emir,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
656,SIDDIQ Adiy,GBR,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
657,EICHLER Victor,SUI,,,0.0,0.0,,,,,,,,,,,,,,,,0.0
658,YAVUZASLAN oruc serhan yavuz,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
659,EREN Halit,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
659,BUENO FALCON RODRIGO ZHENG,ESP,,,0.0,,,,,,,,,,,,,,,,,0.0
659,RUDAKOV Alexey,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
662,BARSANTI Alberto,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
662,WEIDE Timo Caspar,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
664,VERDIER Aurelien,SUI,,,,0.0,,,,,,,,,,,,,,,,0.0
664,ERGUL ozgur aras,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
666,MAXA Filip,CZE,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
667,SAMLI kuzey,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
668,FERENCZI Ambrus,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
668,LUTZ Andre,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
668,KOYLAN kuzey,TUR,,,,,0.0,,,,,,,,,,,,,,,0.0
671,GARCIA-GHURAN Aidan,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
672,EVANS Detroit,NZL,,,,0.0,,,,,,,,,,,,,,,0.0,0.0
673,BERZOVITIS Adamantios Marios,GRE,,,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0
674,HOCEVAR Miha,SLO,,,,0.0,,,,,,,,,,,,,,,,0.0
674,GIRARD Remi,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
674,GUGGENBICHLER Vincent,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
677,WITTOUCK Corto,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
677,GAERTNER Johannes,GER,,,,0.0,,,,,,,,,,,,,,,,0.0
679,ZORE Tilen,SLO,,,,0.0,,,,,,,,,,,,,,,,0.0
679,HETHERINGTON Miller,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
681,NATALI Jean,FRA,,,0.0,,,,,,,,,,,,,,,,,0.0
682,VAN DE CASTEELE Jan,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
682,VAN LAERE Maxim,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
684,PROSSE Art,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
684,WIJNBERG Rick,NED,,,0.0,,,,,,,,,,,,,,,,,0.0
686,ROWELLE Charles,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
687,TIELEMANS Lucas,BEL,,,0.0,,,,,0.0,,,,,,,,,,,,0.0
688,BOSMANS Mael,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
689,KETTLES Calum,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
690,VAN LISHOUT Mats,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
691,BEN AMMOU Mohamed,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
692,VAN WIJK Cas,NED,,,0.0,,,,,,,,,,,,,,,,,0.0
693,KRUIT Samuel,NED,,,0.0,,,,,,,,,,,,,,,,,0.0
694,SIADI YABUYA Yane,COD,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0
695,EHRLICH-ADAM Nicolas,AUT,,,0.0,,,,,,,,,,,,,,,,,0.0
696,MOHSLER Jakob,GER,,,0.0,,,,,,,,,,,,,,,,,0.0
697,KU Long In,MAC,,,,,,,,,,,,,,,,,,,0.0,0.0
698,THIELEMANS Alain,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
699,BONIFACIO Gustavo,POR,,,,,,,,,,,,,,0.0,,,,,0.0,0.0
700,VAN INGELGEM Cyriel,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
701,MOREIRA Matias,POR,,,0.0,,,,,,,,,,,,,,,,,0.0
702,KIRBY Benjamin,GBR,,,0.0,,,,,,,,,,,,,,,,,0.0
703,MANIUNGU NTOTO Djodjo,COD,,,0.0,,,,,,,,,,,,,,,,,0.0
704,CHAINAKEN Supakorn,THA,,,,,,,,,,,,,,,,,,,0.0,0.0
704,VAN LISHOUT Sebastiaan,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
706,MARCHINI Pietro Nicodemo,ITA,,,0.0,,,,,,,,,,,,,,,,,0.0
707,LEGRAND Gauthier,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
708,VANGEEL Florian,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
708,DEHAECK Nolan,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
710,HONG Dongyeol,KOR,,,,,,,,,,,,,0.0,,,,,,,0.0
711,VAN KEMENADE Mees,NED,,,0.0,,,,,,,,,,,,,,,,,0.0
712,SERVRANCKX Joeri,BEL,,,0.0,,,,,,,,,,,,,,,,,0.0
713,YIP Shing Chi,HKG,,,,,,,,,,,,,0.0,,,,,,,0.0
714,VILLASENOR Aaron,MEX,,,,,,,,,,0.0,,,,,,,,,0.0,0.0
715,LEE Terry Dong Wei,MAS,,,,,,,,,,,,,,,,,,,0.0,0.0
716,LAW Tin Yat Barret,HKG,,,,,,,,,,,,,0.0,,,,,,,0.0
716,HOWELL Casper,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
716,NGUYEN Van Quyet,VIE,,,,,,,,,,,,,0.0,,,,,,,0.0
716,JOMAH Abdulaziz,KUW,,,,,,,,,,,,,,,,,,,0.0,0.0
720,POZDNYAKOV Vladislav,RUS,,,,,,,,,0.0,,,,,,,,,,,0.0
720,LAW Tsz Ho Marcus,HKG,,,,,,,,,,,,,0.0,,,,,,,0.0
722,KAOUECH Mohamed Aziz,TUN,,,,,,,0.0,,0.0,,,,,,,,,,,0.0
723,TE VELDE Noah,USA,,,,,,,0.0,,,,,,,,,,,,,0.0
724,THOMAS Angus,AUS,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0
725,REYES Xavier Matthew,PHI,,,,,,,,,,,,,0.0,,,,,,,0.0
726,DINU Nicholas,CAN,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,0.0
727,AUW Ashton Sen Hon,SGP,,,,,,,,,,,,0.0,0.0,,,,,,,0.0
728,WONG Adrian,BRU,,,,,,,,,,,,,,,,,,,0.0,0.0
729,IZEM Adem Abdelhacib,ALG,,,,,,,0.0,,0.0,,,,,,,,,,,0.0
730,MAKHOUL Antony,FRA,,,,,,,,0.0,,,,,,,,,,,,0.0
731,CHERNI Mohamed Aziz,TUN,,,,,,,,,0.0,,,,,,,,,,,0.0
731,HOLZ Daniel,USA,,,,,,,,,0.0,,,,,,,,,,,0.0
731,TIRUGSAPHUNT Teedet,THA,,,,,,,,,,,,,0.0,,,,,,,0.0
731,OBEID Zaky,LBN,,,,,,,,,,,,,,,,,,,0.0,0.0
735,NG Jonathan,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
736,GUALTERO CRUZ Samuel,COL,,,,,,,,,,0.0,,,,,,,,,,0.0
737,SANTOS Jose,BRA,,,,,,,,0.0,,,,,,,,,,,,0.0
738,CASTANEDA Antonio,MEX,,,,,,,,,,0.0,,,,,,,,,,0.0
739,TOLEDO Carlos,MEX,,,,,,,,,,0.0,,,,,,,,,,0.0
740,WANG Will Yiyu,CAN,,,,,,,,,,,0.0,,0.0,,,,,,,0.0
741,RADOCH Filip,POL,,,,,,,0.0,,,,0.0,,,,,,,,,0.0
742,HASSINE Mohamed Nour,TUN,,,,,,,,,0.0,,,,,,,,,,,0.0
743,LIM William,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
744,ATTIA Aly,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
745,BERRIO Carter,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
746,PARDELA Michal,POL,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0
747,CROWLEY Brian,IRL,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0
748,OH Triton,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
749,BERA Enzo,POL,,,,,,,0.0,,,0.0,,,,,,,,,,0.0
750,BECKEY William,AUS,,,,,,,,,,0.0,,,,,,,,,,0.0
751,WANG Weiyun,CAN,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
752,AGHAEI Nima,IRI,,,,,,,0.0,,,,,0.0,,,,,,,,0.0
753,KEITA Babacar Sadikh,SEN,,,,,,,,,,0.0,,,,,,,,,,0.0
754,ALOBAID Jehad,KSA,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0
755,YE Eric,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
755,ABOUELSEOUD SAHER,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
757,DUNCAN Adlai,CAN,,,,,,,,,,0.0,,0.0,,,,,,,,0.0
758,MACIAS Cesar,MEX,,,,,,,,,,0.0,,,,,,,,,,0.0
758,ABDELKADER Youssef,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
760,ABDERRAHMANI Mohamed Sami,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
761,STANBEK Sultan,KAZ,,,,,,,,,,,,,,0.0,,,,,,0.0
761,RODRÍGUEZ JIMENEZ Alan de Jesús,MEX,,,,,,,,,,0.0,,,,,,,,,,0.0
763,DEWEDAR O.,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
764,AINOUCHE Adam Anis,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
764,SAAD Yacine,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
766,PATTO Erico,BRA,,,,,,,,,,,,,,0.0,,,,,,0.0
766,DEWEDAR Aly,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
768,SUN Andrew,CAN,,,,,,,,,,0.0,,,,,,,,,,0.0
768,ZELAYA Jayson,HON,,,,,,,,,,0.0,,,,,,,,,,0.0
770,BOUNACEUR Mohammed Belsem,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
770,ELSHAZLY HAMZA,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
772,SALAZAR ANTEQUERA David,VEN,,,,,,,,,,,,,,0.0,,,,,,0.0
772,BENSEGHIER Zine-Eddine,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
772,ZHAO Zhiyu,USA,,,,,,,,,,0.0,,,,,,,,,,0.0
775,VARGAS ESCOBAR Emilio,COL,,,,,,,,,,,0.0,,,,,,,,,0.0
775,BENAKILA Yacine Ilyes,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
775,BAI Shufan,AUS,,,,,,,,,,0.0,,,,,,,,,,0.0
775,GAREF YAAKOUB,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
779,CHIRINOS MORA Daniel,VEN,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
780,EL FALJI Walid,MAR,,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0
781,FABO Akos Viktor,HUN,,,,,,,,,,,0.0,,,,,,,,,0.0
781,GENKOV Aleksander,BUL,,,,,,,,0.0,,,,,,,,,,,,0.0
781,LETTE Alexander,AUS,,,,,,,,,,0.0,,,,,,,,,,0.0
784,SZPAK Bruno,POL,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
785,BENSEGHIER Abou El Kacem Oussama,ALG,,,,,,,0.0,,,,,,,,,,,,,0.0
786,ILIFFE Daniel,AUS,,,,,,,,,,0.0,,,,,,,,,,0.0
786,SHAPOVALOV Kirill,RUS,,,,,,,,,,,,0.0,,,,,,,,0.0
786,GUEYE DJIBRIL,SEN,,,,,,,0.0,,,,,,,,,,,,,0.0
786,ABOULNEEL OMAR,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
790,TSITOMENEAS Pavlos,GRE,,,,,,,,,,,,,,0.0,,,,,,0.0
791,ALADAILEH Sohaib,JOR,,,,,,,,,,,,,,0.0,,,,,,0.0
792,REALE Valerio,ITA,,,,,,,,,,,,0.0,,,,,,,,0.0
792,AHMED HUSSEIN,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
792,CSOBA Botond,HUN,,,,,,,,,,,0.0,,,,,,,,,0.0
795,CHAN Alex Brian,HKG,,,,,,,,0.0,,,,,,,,,,,,0.0
796,CLEMENTE LIMPIO Pedro,VEN,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
797,SUORSA Markus,FIN,,,,,,,,,,0.0,,,,,,,,,,0.0
798,PICCHI Filippo,ITA,,,,,,,,,,,,0.0,,,,,,,,0.0
798,LOPEZ DORTA Carlos,VEN,,,,,,,,,,,,0.0,,,,,,,,0.0
800,LAVÍN MACÍAS Ulises Adrián,MEX,,,,,,,,,,,,,,0.0,,,,,,0.0
801,SALEH A,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
802,AYMAN MOAZ,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
803,H.ABUHALWA Hamza,EGY,,,,,,,,,,,,,,0.0,,,,,,0.0
804,ZAVIRSEK ZORZ Tei,SLO,,,,,,,,,,,0.0,,,,,,,,,0.0
805,ABOUTALEB Hicham,MAR,,,,,,,,,,,,0.0,,,,,,,,0.0
806,YOUSSEF AMINE Adam,LBN,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
